"plantid","plot","tag","fl.init","fl.fina","year"
"3455_15_15C",15,3455,3,5,2021
"3479_15_5F",15,3479,4,6,2021
"3481_15_15H",15,3481,3,5,2021
"3481_15_15H",15,3481,3,5,2021
"3489_15_14G",15,3489,2,5,2021
"3489_15_14G",15,3489,2,5,2021
"3490_15_12C",15,3490,2,2,2021
"3491_15_17E",15,3491,3,5,2021
"3491_15_17E",15,3491,3,5,2021
"3500_15_10D",15,3500,2,5,2021
"3581_15_15I",15,3581,4,6,2021
"3612_15_12E",15,3612,4,5,2021
"3659_15_4C",15,3659,2,4,2021
"3673_15_10A",15,3673,2,5,2021
"3673_15_10A",15,3673,2,5,2021
"3686_15_16H",15,3686,4,5,2021
"3686_15_16H",15,3686,4,5,2021
"3738_15_17H",15,3738,2,5,2021
"3738_15_17H",15,3738,2,5,2021
"3740_15_13J",15,3740,4,5,2021
"3757_15_13G",15,3757,4,4,2021
"3774_15_9F",15,3774,4,5,2021
"3863_15_8I",15,3863,3,6,2021
"3882_15_2I",15,3882,3,5,2021
"3892_15_0B",15,3892,4,5,2021
"3126_1",1,3126,6,8,2022
"3151_1",1,3151,8,8,2022
"3192_1",1,3192,7,8,2022
"3347_1",1,3347,7,8,2022
"3365_1",1,3365,6,8,2022
"3410_1",1,3410,8,8,2022
"3412_1",1,3412,8,8,2022
"3424_1",1,3424,7,9,2022
"3432_1",1,3432,8,8,2022
"3434_1",1,3434,8,8,2022
"3506_1",1,3506,7,9,2022
"3525_1",1,3525,7,8,2022
"3542_1",1,3542,7,8,2022
"3543_1",1,3543,9,9,2022
"3567_1",1,3567,4,8,2022
"3583_1",1,3583,9,9,2022
"3599_1",1,3599,6,8,2022
"3608_1",1,3608,7,10,2022
"3610_1",1,3610,9,NA,2022
"3611_1",1,3611,6,8,2022
"3627_1",1,3627,6,8,2022
"3645_1",1,3645,7,8,2022
"3741_1",1,3741,7,9,2022
"3763_1",1,3763,6,8,2022
"3779_1",1,3779,6,9,2022
"3782_1",1,3782,8,8,2022
"3814_1",1,3814,6,9,2022
"3821_1",1,3821,4,8,2022
"3845_1",1,3845,8,8,2022
"3879_1",1,3879,8,8,2022
"3930_1",1,3930,4,8,2022
"3935_1",1,3935,6,9,2022
"7536_1",1,7536,7,8,2022
"7562_1",1,7562,6,8,2022
"3013_2",2,3013,8,8,2022
"3155_2",2,3155,7,8,2022
"3156_2",2,3156,5,8,2022
"3157_2",2,3157,5,8,2022
"3159_2",2,3159,7,8,2022
"3163_2",2,3163,8,9,2022
"3164_2",2,3164,8,9,2022
"3166_2",2,3166,4,9,2022
"3167_2",2,3167,5,8,2022
"3169_2",2,3169,6,8,2022
"3172_2",2,3172,5,8,2022
"3175_2",2,3175,7,8,2022
"3185_2",2,3185,6,8,2022
"3190_2",2,3190,8,8,2022
"3352_2",2,3352,6,10,2022
"3413_2",2,3413,6,9,2022
"3477_2",2,3477,9,9,2022
"3480_2",2,3480,6,8,2022
"3519_2",2,3519,3,9,2022
"3531_2",2,3531,6,8,2022
"3550_2",2,3550,7,10,2022
"3562_2",2,3562,8,8,2022
"3597_2",2,3597,4,8,2022
"3703_2",2,3703,6,8,2022
"3751_2",2,3751,6,8,2022
"3865_2",2,3865,6,9,2022
"3891_2",2,3891,7,9,2022
"3015_3",3,3015,6,8,2022
"3056_3",3,3056,6,8,2022
"3081_3",3,3081,8,8,2022
"3151_3",3,3151,8,8,2022
"3304_3",3,3304,6,9,2022
"3313_3",3,3313,8,8,2022
"3349_3",3,3349,6,9,2022
"3462_3",3,3462,4,9,2022
"3624_3",3,3624,8,9,2022
"3759_3",3,3759,2,8,2022
"3796_3",3,3796,7,9,2022
"3797_3",3,3797,5,9,2022
"3798_3",3,3798,7,9,2022
"3799_3",3,3799,8,9,2022
"3846_3",3,3846,8,8,2022
"3906_3",3,3906,8,9,2022
"7573_3",3,7573,7,8,2022
"1411_4",4,1411,2,8,2022
"2238_4",4,2238,7,9,2022
"3007_4",4,3007,7,8,2022
"3122_4",4,3122,7,9,2022
"3182_4",4,3182,7,8,2022
"3364_4",4,3364,5,9,2022
"3656_4",4,3656,8,8,2022
"3730_4",4,3730,7,9,2022
"3787_4",4,3787,8,9,2022
"7545_4",4,7545,8,9,2022
"7550_4",4,7550,4,9,2022
"7591_4",4,7591,7,11,2022
"3010_5",5,3010,3,8,2022
"3022_5",5,3022,4,9,2022
"3067_5",5,3067,2,8,2022
"3074_5",5,3074,5,9,2022
"3093_5",5,3093,7,8,2022
"3108_5",5,3108,8,9,2022
"3109_5",5,3109,5,9,2022
"3124_5",5,3124,4,8,2022
"3125_5",5,3125,6,9,2022
"3127_5",5,3127,7,8,2022
"3135_5",5,3135,2,8,2022
"3148_5",5,3148,7,8,2022
"3152_5",5,3152,8,9,2022
"3153_5",5,3153,7,8,2022
"3161_5",5,3161,4,8,2022
"3178_5",5,3178,6,8,2022
"3193_5",5,3193,8,8,2022
"3196_5",5,3196,5,9,2022
"3197_5",5,3197,5,9,2022
"3198_5",5,3198,6,8,2022
"3199_5",5,3199,5,10,2022
"3200_5",5,3200,4,8,2022
"3338_5",5,3338,4,8,2022
"3465_5",5,3465,7,8,2022
"3473_5",5,3473,2,8,2022
"3476_5",5,3476,3,8,2022
"3479_5",5,3479,4,9,2022
"3488_5",5,3488,5,8,2022
"3499_5",5,3499,5,8,2022
"3516_5",5,3516,6,8,2022
"3546_5",5,3546,4,8,2022
"3560_5",5,3560,7,8,2022
"3615_5",5,3615,6,10,2022
"3644_5",5,3644,6,8,2022
"3649_5",5,3649,6,8,2022
"3663_5",5,3663,4,9,2022
"3685_5",5,3685,4,8,2022
"3697_5",5,3697,3,8,2022
"3710_5",5,3710,4,9,2022
"3788_5",5,3788,8,8,2022
"3810_5",5,3810,4,9,2022
"3811_5",5,3811,7,9,2022
"3820_5",5,3820,7,8,2022
"3833_5",5,3833,6,9,2022
"3869_5",5,3869,6,8,2022
"3877_5",5,3877,8,8,2022
"3888_5",5,3888,4,8,2022
"3896_5",5,3896,2,8,2022
"3987_5",5,3987,6,8,2022
"3988_5",5,3988,5,8,2022
"5021_5",5,5021,2,8,2022
"5022_5",5,5022,6,8,2022
"5026_5",5,5026,4,8,2022
"5036_5",5,5036,4,8,2022
"5042_5",5,5042,8,8,2022
"5044_5",5,5044,5,8,2022
"5045_5",5,5045,10,10,2022
"7522_5",5,7522,8,9,2022
"7526_5",5,7526,5,8,2022
"7546_5",5,7546,6,8,2022
"7555_5",5,7555,6,8,2022
"3005_6",6,3005,5,8,2022
"3008_6",6,3008,8,8,2022
"3070_6",6,3070,3,8,2022
"3136_6",6,3136,4,8,2022
"3140_6",6,3140,5,8,2022
"3141_6",6,3141,5,8,2022
"3142_6",6,3142,10,NA,2022
"3173_6",6,3173,6,8,2022
"3179_6",6,3179,5,8,2022
"3319_6",6,3319,7,8,2022
"3345_6",6,3345,3,8,2022
"3358_6",6,3358,4,8,2022
"3360_6",6,3360,6,8,2022
"3372_6",6,3372,8,8,2022
"3374_6",6,3374,7,8,2022
"3400_6",6,3400,10,NA,2022
"3466_6",6,3466,6,8,2022
"3489_6",6,3489,8,8,2022
"3518_6",6,3518,6,8,2022
"3630_6",6,3630,5,8,2022
"3643_6",6,3643,6,8,2022
"3648_6",6,3648,6,8,2022
"3669_6",6,3669,5,8,2022
"3725_6",6,3725,6,8,2022
"3729_6",6,3729,5,8,2022
"3733_6",6,3733,6,8,2022
"3743_6",6,3743,7,10,2022
"3773_6",6,3773,7,8,2022
"3777_6",6,3777,6,8,2022
"3789_6",6,3789,10,NA,2022
"3887_6",6,3887,6,8,2022
"3955_6",6,3955,10,10,2022
"7587_6",6,7587,7,10,2022
"3044_7",7,3044,6,9,2022
"3089_7",7,3089,3,9,2022
"3100_7",7,3100,7,9,2022
"3298_7",7,3298,4,8,2022
"3368_7",7,3368,8,9,2022
"3370_7",7,3370,9,9,2022
"3375_7",7,3375,6,8,2022
"3401_7",7,3401,7,8,2022
"3403_7",7,3403,9,9,2022
"3406_7",7,3406,7,9,2022
"3408_7",7,3408,8,9,2022
"3443_7",7,3443,6,9,2022
"3446_7",7,3446,3,8,2022
"3450_7",7,3450,2,9,2022
"3452_7",7,3452,3,9,2022
"3453_7",7,3453,6,9,2022
"3688_7",7,3688,7,9,2022
"3874_7",7,3874,5,8,2022
"3886_7",7,3886,5,9,2022
"3981_7",7,3981,4,9,2022
"3994_7",7,3994,5,9,2022
"5032_7",7,5032,5,8,2022
"5037_7",7,5037,9,NA,2022
"5040_7",7,5040,9,NA,2022
"5047_7",7,5047,6,9,2022
"5048_7",7,5048,8,9,2022
"5049_7",7,5049,4,8,2022
"5050_7",7,5050,8,8,2022
"5051_7",7,5051,5,9,2022
"5053_7",7,5053,7,9,2022
"5054_7",7,5054,8,9,2022
"5056_7",7,5056,9,9,2022
"7544_7",7,7544,8,8,2022
"3190_10",10,3190,4,7,2022
"3353_10",10,3353,3,7,2022
"3547_10",10,3547,6,7,2022
"3655_10",10,3655,3,8,2022
"3002_12",12,3002,6,9,2022
"3129_12",12,3129,3,8,2022
"3131_12",12,3131,8,8,2022
"3135_12",12,3135,5,9,2022
"3137_12",12,3137,8,9,2022
"3145_12",12,3145,8,8,2022
"3395_12",12,3395,5,8,2022
"3413_12",12,3413,9,9,2022
"3423_12",12,3423,8,10,2022
"3445_12",12,3445,8,9,2022
"3449_12",12,3449,7,9,2022
"3451_12",12,3451,7,10,2022
"3536_12",12,3536,4,9,2022
"3551_12",12,3551,8,8,2022
"3578_12",12,3578,3,8,2022
"3018_13",13,3018,4,8,2022
"3026_13",13,3026,8,8,2022
"3042_13",13,3042,8,8,2022
"3088_13",13,3088,5,8,2022
"3108_13",13,3108,7,8,2022
"3112_13",13,3112,7,9,2022
"3118_13",13,3118,4,9,2022
"3119_13",13,3119,5,9,2022
"3120_13",13,3120,4,9,2022
"3123_13",13,3123,6,9,2022
"3126_13",13,3126,6,9,2022
"3128_13",13,3128,7,8,2022
"3143_13",13,3143,6,8,2022
"3155_13",13,3155,8,8,2022
"3167_13",13,3167,7,9,2022
"3178_13",13,3178,8,8,2022
"3180_13",13,3180,8,8,2022
"3187_13",13,3187,5,9,2022
"3196_13",13,3196,6,7,2022
"3333_13",13,3333,9,9,2022
"3336_13",13,3336,8,8,2022
"3357_13",13,3357,8,9,2022
"3358_13",13,3358,6,9,2022
"3367_13",13,3367,6,6,2022
"3373_13",13,3373,6,9,2022
"3376_13",13,3376,4,8,2022
"3382_13",13,3382,3,9,2022
"3384_13",13,3384,8,9,2022
"3390_13",13,3390,4,9,2022
"3391_13",13,3391,7,8,2022
"3396_13",13,3396,8,9,2022
"3397_13",13,3397,7,9,2022
"3421_13",13,3421,6,9,2022
"3422_13",13,3422,9,9,2022
"3428_13",13,3428,9,NA,2022
"3429_13",13,3429,6,8,2022
"3431_13",13,3431,6,9,2022
"3433_13",13,3433,4,9,2022
"3441_13",13,3441,3,9,2022
"3481_13",13,3481,8,10,2022
"3494_13",13,3494,4,8,2022
"3497_13",13,3497,9,9,2022
"3515_13",13,3515,4,8,2022
"3565_13",13,3565,7,8,2022
"3590_13",13,3590,6,9,2022
"3593_13",13,3593,5,8,2022
"3604_13",13,3604,4,9,2022
"3605_13",13,3605,4,8,2022
"3614_13",13,3614,8,8,2022
"3616_13",13,3616,4,8,2022
"3620_13",13,3620,4,9,2022
"3628_13",13,3628,8,9,2022
"3638_13",13,3638,6,9,2022
"3642_13",13,3642,2,9,2022
"3675_13",13,3675,4,9,2022
"3701_13",13,3701,9,NA,2022
"3705_13",13,3705,9,NA,2022
"3724_13",13,3724,9,9,2022
"3726_13",13,3726,8,8,2022
"3769_13",13,3769,7,9,2022
"3775_13",13,3775,6,9,2022
"3780_13",13,3780,7,9,2022
"3826_13",13,3826,3,9,2022
"3853_13",13,3853,7,9,2022
"3978_13",13,3978,3,9,2022
"3980_13",13,3980,6,9,2022
"3989_13",13,3989,9,9,2022
"7532_13",13,7532,6,9,2022
"7537_13",13,7537,4,9,2022
"7592_13",13,7592,7,9,2022
"3004_14",14,3004,2,9,2022
"3035_14",14,3035,4,9,2022
"3086_14",14,3086,6,9,2022
"3101_14",14,3101,6,8,2022
"3118_14",14,3118,8,8,2022
"3149_14",14,3149,9,9,2022
"3158_14",14,3158,5,9,2022
"3305_14",14,3305,6,8,2022
"3360_14",14,3360,2,9,2022
"3363_14",14,3363,4,9,2022
"3366_14",14,3366,5,9,2022
"3379_14",14,3379,5,5,2022
"3385_14",14,3385,8,8,2022
"3430_14",14,3430,4,9,2022
"3432_14",14,3432,4,9,2022
"3433_14",14,3433,5,9,2022
"3440_14",14,3440,8,8,2022
"3459_14",14,3459,4,9,2022
"3463_14",14,3463,8,8,2022
"3464_14",14,3464,8,8,2022
"3469_14",14,3469,6,8,2022
"3495_14",14,3495,10,NA,2022
"3526_14",14,3526,4,9,2022
"3556_14",14,3556,2,8,2022
"3575_14",14,3575,8,9,2022
"3607_14",14,3607,6,9,2022
"3661_14",14,3661,4,9,2022
"3671_14",14,3671,4,9,2022
"3682_14",14,3682,7,8,2022
"3699_14",14,3699,5,9,2022
"3711_14",14,3711,8,8,2022
"3752_14",14,3752,6,8,2022
"3776_14",14,3776,9,NA,2022
"3816_14",14,3816,8,8,2022
"3829_14",14,3829,9,NA,2022
"3838_14",14,3838,6,9,2022
"3885_14",14,3885,8,8,2022
"3913_14",14,3913,3,9,2022
"3926_14",14,3926,6,8,2022
"7557_14",14,7557,4,9,2022
"7575_14",14,7575,8,8,2022
"7576_14",14,7576,6,8,2022
"3006_15",15,3006,7,8,2022
"3014_15",15,3014,8,8,2022
"3017_15",15,3017,5,8,2022
"3021_15",15,3021,4,8,2022
"3047_15",15,3047,6,8,2022
"3052_15",15,3052,4,8,2022
"3063_15",15,3063,6,8,2022
"3065_15",15,3065,7,8,2022
"3068_15",15,3068,4,8,2022
"3076_15",15,3076,4,8,2022
"3083_15",15,3083,6,8,2022
"3095_15",15,3095,7,8,2022
"3116_15",15,3116,6,8,2022
"3177_15",15,3177,6,8,2022
"3297_15",15,3297,4,8,2022
"3341_15",15,3341,5,8,2022
"3354_15",15,3354,5,8,2022
"3371_15",15,3371,6,8,2022
"3372_15",15,3372,6,8,2022
"3377_15",15,3377,3,8,2022
"3384_15",15,3384,5,8,2022
"3391_15",15,3391,6,8,2022
"3393_15",15,3393,7,8,2022
"3395_15",15,3395,4,8,2022
"3397_15",15,3397,6,8,2022
"3401_15",15,3401,4,8,2022
"3417_15",15,3417,3,8,2022
"3423_15",15,3423,7,11,2022
"3426_15",15,3426,4,8,2022
"3427_15",15,3427,7,8,2022
"3436_15",15,3436,6,7,2022
"3446_15",15,3446,10,10,2022
"3455_15",15,3455,4,8,2022
"3457_15",15,3457,8,8,2022
"3458_15",15,3458,7,7,2022
"3472_15",15,3472,6,8,2022
"3479_15",15,3479,4,8,2022
"3481_15",15,3481,7,8,2022
"3482_15",15,3482,8,8,2022
"3485_15",15,3485,6,8,2022
"3489_15",15,3489,4,8,2022
"3490_15",15,3490,5,8,2022
"3491_15",15,3491,4,8,2022
"3493_15",15,3493,8,8,2022
"3500_15",15,3500,4,8,2022
"3581_15",15,3581,8,8,2022
"3612_15",15,3612,7,8,2022
"3659_15",15,3659,4,8,2022
"3673_15",15,3673,3,7,2022
"3734_15",15,3734,5,8,2022
"3736_15",15,3736,6,8,2022
"3738_15",15,3738,7,8,2022
"3740_15",15,3740,5,8,2022
"3755_15",15,3755,8,8,2022
"3757_15",15,3757,5,8,2022
"3766_15",15,3766,10,NA,2022
"3774_15",15,3774,7,8,2022
"3813_15",15,3813,7,8,2022
"3818_15",15,3818,5,8,2022
"3848_15",15,3848,7,8,2022
"3863_15",15,3863,7,7,2022
"3868_15",15,3868,8,10,2022
"3882_15",15,3882,4,8,2022
"3892_15",15,3892,6,8,2022
"3900_15",15,3900,5,8,2022
"7521_15",15,7521,8,8,2022
"7593_15",15,7593,8,8,2022
"3126_1_7E",1,3126,3,6,2023
"3151_1_8H",1,3151,4,6,2023
"3151_1_8H",1,3151,4,6,2023
"3192_1_11B",1,3192,4,5,2023
"3193_1_15A",1,3193,4,5,2023
"3365_1_0I",1,3365,4,6,2023
"3410_1_4J",1,3410,5,6,2023
"3410_1_4J",1,3410,5,6,2023
"3411_1_9J",1,3411,5,6,2023
"3412_1_9J",1,3412,5,6,2023
"3424_1_12G",1,3424,4,5,2023
"3432_1_19A",1,3432,4,5,2023
"3506_1_2B/E",1,3506,5,6,2023
"3525_1_1G",1,3525,4,5,2023
"3542_1_0I",1,3542,4,6,2023
"3543_1_2F",1,3543,4,6,2023
"3543_1_2F",1,3543,4,6,2023
"3567_1_3I",1,3567,4,5,2023
"3567_1_3I",1,3567,4,5,2023
