"plantid","Plot","Year","detected","obs.alive","no.leaves","leaf.leng","flowering","no.umbels"
"3536_12_18A",12,2016,TRUE,TRUE,7,8.1,TRUE,2
"3551_12_11H",12,2016,TRUE,TRUE,3,7,FALSE,NA
"3578_12_15A",12,2016,TRUE,TRUE,5,4.1,FALSE,NA
"3834_12_15C",12,2016,TRUE,TRUE,4,7.5,TRUE,1
"3876_12_11H",12,2016,TRUE,TRUE,6,7.2,FALSE,NA
"3009_13_17J",13,2016,TRUE,TRUE,4,7.6,TRUE,1
"3023_13_16G",13,2016,TRUE,TRUE,7,5.7,TRUE,2
"3027_13_0C",13,2016,TRUE,TRUE,3,6.5,TRUE,1
"3039_13_0E",13,2016,TRUE,TRUE,13,6.8,TRUE,3
"3061_13_19E",13,2016,TRUE,TRUE,3,5.6,FALSE,NA
"3079_13_9B",13,2016,TRUE,TRUE,4,5.1,TRUE,2
"3088_13_9B",13,2016,TRUE,TRUE,11,6,TRUE,2
"3123_13_5H",13,2016,TRUE,TRUE,5,3.8,TRUE,1
"3128_13_13H",13,2016,TRUE,TRUE,12,8.4,TRUE,3
"3154_13_16J",13,2016,TRUE,TRUE,8,6.6,TRUE,1
"3155_13_5A",13,2016,TRUE,TRUE,3,5.5,TRUE,1
"3167_13_12G",13,2016,TRUE,TRUE,3,4,TRUE,1
"3187_13_1J",13,2016,TRUE,TRUE,4,6.6,TRUE,1
"3287_13_10H",13,2016,TRUE,TRUE,3,8,FALSE,NA
"3333_13_12A",13,2016,TRUE,TRUE,3,1.7,TRUE,1
"3336_13_3C",13,2016,TRUE,TRUE,3,4,TRUE,1
"3356_13_15G",13,2016,TRUE,TRUE,4,4.3,TRUE,1
"3359_13_14H",13,2016,TRUE,TRUE,4,2.8,TRUE,1
"3535_13_18A",13,2016,TRUE,TRUE,3,5.2,FALSE,NA
"3558_13_0F",13,2016,TRUE,NA,NA,NA,TRUE,1
"3565_13_19F",13,2016,TRUE,TRUE,4,6.1,TRUE,1
"3573_13_18D",13,2016,TRUE,TRUE,1,7.1,FALSE,NA
"3594_13_2F",13,2016,TRUE,TRUE,6,5,TRUE,2
"3604_13_2H",13,2016,TRUE,TRUE,4,5.9,FALSE,NA
"3605_13_15F",13,2016,TRUE,TRUE,3,4.6,FALSE,NA
"3616_13_10B",13,2016,TRUE,TRUE,6,4.8,TRUE,1
"3617_13_19G",13,2016,TRUE,TRUE,6,5.5,TRUE,2
"3620_13_12J",13,2016,TRUE,TRUE,3,5.1,FALSE,NA
"3628_13_17D",13,2016,TRUE,TRUE,3,6.2,TRUE,2
"3638_13_8C",13,2016,TRUE,TRUE,3,4.7,TRUE,1
"3642_13_10G",13,2016,TRUE,TRUE,8,6,TRUE,3
"3658_13_11I",13,2016,TRUE,TRUE,5,6,TRUE,3
"3675_13_13I",13,2016,TRUE,TRUE,3,5.5,TRUE,1
"3681_13_19D",13,2016,TRUE,TRUE,2,5.3,TRUE,2
"3700_13_15D",13,2016,TRUE,TRUE,3,2.4,TRUE,1
"3701_13_19E",13,2016,TRUE,TRUE,3,6.5,FALSE,NA
"3705_13_14H",13,2016,TRUE,TRUE,4,5.2,TRUE,2
"3823_13_18G",13,2016,TRUE,TRUE,1,4.1,FALSE,NA
"3826_13_5A",13,2016,TRUE,TRUE,1,1.1,TRUE,2
"3830_13_18C",13,2016,TRUE,TRUE,3,5,FALSE,NA
"3853_13_16A",13,2016,TRUE,TRUE,3,7.5,FALSE,NA
