"year","plantid","plot","tag","umbel.no","no.seeds","notes"
2021,"3432_14_2J",14,"3432","1",4,";;"
2021,"3661_14_7I",14,"3661","1",22,";;"
2021,"3305_14_7B",14,"3305","1",4,";;"
2021,"3360_14_8D",14,"3360","1",4,"Was not a bagged plant, but seeds easy to count;;"
2021,"3607_14_10D",14,"3607","1",60,";;"
2021,"3149_14_19A",14,"3149","1",38,";;"
2021,"3556_14_15H",14,"3556","1",52,";;"
2021,"3556_14_15H",14,"3556","2",0,"dead;;"
2021,"3367_14_15H",14,"3367","1",128,"[tag manually edited; was 3363]"
2021,"3367_14_15H",14,"3367","2",82,"[tag manually edited; was 3363]"
2021,"3367_14_15H",14,"3367","3",0,"[tag manually edited; was 3363]"
2021,"3421_13_0C",13,"3421","1",26,";;"
2021,"3978_13_2F",13,"3978","1",54,";;"
2021,"3978_13_2F",13,"3978","2",0,"dead;;"
2021,"3433_13_3A",13,"3433","1",19,";;"
2021,"3826_13_5A",13,"3826","1",4,";;"
2021,"3390_13_7G",13,"3390","1",30,";;"
2021,"3642_13_10G",13,"3642","1",104,";;"
2021,"3642_13_10G",13,"3642","2",0,"dead;;"
2021,"3620_13_12J",13,"3620","1",8,"Was not a bagged plant, but seeds easy to count;;"
2021,"3494_13_16D",13,"3494","1",114,";;"
2021,"3494_13_16D",13,"3494","2",0,"dead;;"
2022,"7562_1",1,"7562","1",0,"dead;"
