"Year","Plot","Tag","Xcoor","Ycoor","No.leaves","Stalk_Height","Leaf.length","No.umbels","umbel.diam","YrTag","Note","edited","plantid"
2016,4,3563,15,"H",16,NA,6.9,2,"7","2016","fixed ycoor (was R?)",TRUE,"3563_4_15H"
2016,4,3571,6,"J",20,NA,10.5,3,"10.2","2016",NA,FALSE,"3571_4_6J"
2016,4,3634,18,"E",8,NA,9,1,"3","2016","fixed ycoor (was O)",TRUE,"3634_4_18E"
2016,4,3680,4,"J",5,NA,4.2,1,"4.8","2016",NA,FALSE,"3680_4_4J"
2016,4,3683,7,"I",15,NA,8.3,0,NA,"2016",NA,FALSE,"3683_4_7I"
2016,4,3805,0,"J",3,NA,7.3,NA,NA,"2016",NA,FALSE,"3805_4_0J"
2016,5,3001,16,"I",4,NA,8.3,1,"1","2016",NA,FALSE,"3001_5_16I"
2016,5,3010,14,"G",3,NA,3.9,0,NA,"2016",NA,FALSE,"3010_5_14G"
2016,5,3022,14,"J",6,NA,3.8,2,"2.2","2016",NA,FALSE,"3022_5_14J"
2016,5,3024,0,"H",9,NA,6.7,2,"2.1","2016",NA,FALSE,"3024_5_0H"
2016,5,3040,12,"D",3,NA,7.1,0,NA,"2016",NA,FALSE,"3040_5_12D"
2016,5,3067,16,"F",6,NA,10,1,"2.2","2016",NA,FALSE,"3067_5_16F"
2016,5,3073,17,"G",3,NA,3.1,1,"2.1","2016",NA,FALSE,"3073_5_17G"
2016,5,3095,14,"B",8,NA,7,1,"3.9","2016",NA,FALSE,"3095_5_14B"
2016,5,3105,1,"J",4,NA,8.6,1,"1.5","2016",NA,FALSE,"3105_5_1J"
2016,5,3120,7,"G",3,NA,6.1,1,"1.9","2016",NA,FALSE,"3120_5_7G"
2016,5,3124,16,"D",12,NA,6.7,2,"3","2016",NA,FALSE,"3124_5_16D"
2016,5,3135,18,"D",3,NA,10.1,0,NA,"2016",NA,FALSE,"3135_5_18D"
2016,5,3170,9,"D",4,NA,6.8,1,"2.2","2016",NA,FALSE,"3170_5_9D"
2016,5,3174,10,"I",3,NA,4.1,1,"3.1","2016",NA,FALSE,"3174_5_10I"
2016,5,3176,18,"E",6,NA,3.8,1,"3.8","2016",NA,FALSE,"3176_5_18E"
2016,5,3180,17,"B",7,NA,14,1,"4.2","2016",NA,FALSE,"3180_5_17B"
2016,5,3180,18,"C",7,NA,7.5,1,"3.5","2016",NA,FALSE,"3180_5_18C"
2016,5,3184,11,"E",4,NA,4,1,"2.4","2016",NA,FALSE,"3184_5_11E"
2016,5,3186,15,"G",4,NA,7.8,1,"1.6","2016",NA,FALSE,"3186_5_15G"
2016,5,3191,6,"E",7,NA,7.9,1,"2.4","2016",NA,FALSE,"3191_5_6E"
2016,5,3192,4,"C",7,NA,10.1,2,"3","2016",NA,FALSE,"3192_5_4C"
2016,5,3193,3,"B",10,NA,6,2,"5.5","2016",NA,FALSE,"3193_5_3B"
