"year","plantid","plot","umbel.no","no.seeds","seed.notes","in.seed","phen.umbels","phen.julis","in.phen"
2024,"3088_13",13,1,26,"counted on 11-Jun",TRUE,4,"103; 103; 131; 131",TRUE
2024,"3096_13",13,1,0,"counted on 11-Jun; plant/umbels gone;",TRUE,1,"138",TRUE
2024,"3108_13",13,1,0,"counted on 11-Jun; plant/umbels gone;",TRUE,,,FALSE
2024,"3117_13",13,1,0,"counted on 11-Jun; plant/umbels gone;",TRUE,1,"117",TRUE
2024,"3118_13",13,1,76,"counted on 15-Jun",TRUE,2,"110; 117",TRUE
2024,"3119_13",13,1,0,"counted on 11-Jun; plant/umbels gone;only leaves present",TRUE,1,"110",TRUE
2024,"3120_13",13,1,0,"counted on 11-Jun",TRUE,4,"103; 103; 124; 124",TRUE
2024,"3120_13",13,2,0,"counted on 11-Jun",TRUE,4,"103; 103; 124; 124",TRUE
2024,"3123_13",13,2,0,"counted on 11-Jun",TRUE,6,"103; 103; 103; 117; 124; 124",TRUE
2024,"3123_13",13,3,56,"counted on 11-Jun",TRUE,6,"103; 103; 103; 117; 124; 124",TRUE
2024,"3123_13",13,1,18,"counted on 11-Jun",TRUE,6,"103; 103; 103; 117; 124; 124",TRUE
2024,"3126_13",13,1,0,"counted on 11-Jun; plant/umbels gone;[this is plant 3726 see below; fix/merge]",TRUE,4,"124; 131; 131; 131",TRUE
2024,"3128_13",13,1,10,"counted on 15-Jun",TRUE,1,"131",TRUE
2024,"3143_13",13,1,20,"counted on 11-Jun",TRUE,1,"131",TRUE
2024,"3154_13",13,1,0,"counted on 11-Jun",TRUE,1,"117",TRUE
2024,"3155_13",13,1,10,"counted on 11-Jun",TRUE,2,"110; 131",TRUE
2024,"3155_13",13,2,16,"counted on 11-Jun",TRUE,2,"110; 131",TRUE
2024,"3178_13",13,1,36,"counted on 11-Jun",TRUE,2,"110; 131",TRUE
2024,"3180_13",13,1,0,"counted on 11-Jun",TRUE,1,"124",TRUE
2024,"3187_13",13,1,0,"counted on 11-Jun",TRUE,3,"96; 110; 138",TRUE
2024,"3336_13",13,2,38,"counted on 15-Jun",TRUE,4,"96; 96; 117; 117",TRUE
2024,"3336_13",13,1,2,"counted on 15-Jun",TRUE,4,"96; 96; 117; 117",TRUE
2024,"3367_13",13,1,12,"counted on 11-Jun",TRUE,2,"103; 117",TRUE
2024,"3376_13",13,1,104,"counted on 15-Jun",TRUE,2,"117; 131",TRUE
2024,"3382_13",13,1,40,"counted on 11-Jun",TRUE,2,"103; 124",TRUE
2024,"3384_13",13,1,0,"counted on 11-Jun; plant/umbels gone;",TRUE,1,"110",TRUE
2024,"3391_13",13,1,66,"counted on 11-Jun; only one umbel present",TRUE,2,"110; 110",TRUE
2024,"3396_13",13,1,14,"counted on 15-Jun",TRUE,1,"124",TRUE
2024,"3397_13",13,1,0,"counted on 11-Jun; plant/umbels gone;",TRUE,1,"117",TRUE
2024,"3400_13",13,1,42,"counted on 15-Jun",TRUE,3,"110; 110; 138",TRUE
2024,"3421_13",13,1,0,"counted on 11-Jun; plant/umbels gone;",TRUE,1,"117",TRUE
2024,"3422_13",13,1,24,"counted on 11-Jun",TRUE,1,"124",TRUE
2024,"3427_13",13,1,0,"counted on 11-Jun; plant/umbels gone;",TRUE,1,"117",TRUE
2024,"3429_13",13,1,62,"counted on 11-Jun",TRUE,2,"117; 131",TRUE
2024,"3431_13",13,1,0,"counted on 11-Jun; plant/umbels gone;",TRUE,3,"117; 124; 138",TRUE
2024,"3433_13",13,1,0,"counted on 11-Jun",TRUE,2,"117; 124",TRUE
2024,"3433_13",13,2,6,"counted on 11-Jun",TRUE,2,"117; 124",TRUE
2024,"3441_13",13,1,114,"counted on 11-Jun; only one umbel present",TRUE,2,"96; 117",TRUE
2024,"3481_13",13,2,82,"counted on 15-Jun",TRUE,2,"124; 138",TRUE
2024,"3481_13",13,1,12,"counted on 15-Jun",TRUE,2,"124; 138",TRUE
2024,"3494_13",13,1,0,"counted on 15-Jun; plant/umbels gone;",TRUE,1,"117",TRUE
2024,"3515_13",13,1,6,"counted on 11-Jun; only two umbels present",TRUE,,,FALSE
2024,"3515_13",13,2,2,"counted on 11-Jun; only two umbels present",TRUE,,,FALSE
2024,"3558_13",13,1,44,"counted on 11-Jun",TRUE,1,"103",TRUE
2024,"3590_13",13,1,78,"counted on 11-Jun",TRUE,,,FALSE
2024,"3604_13",13,1,46,"counted on 15-Jun",TRUE,4,"103; 117; 131; 131",TRUE
2024,"3605_13",13,1,48,"counted on 11-Jun",TRUE,1,"124",TRUE
2024,"3616_13",13,1,22,"counted on 11-Jun",TRUE,2,"96; 103",TRUE
2024,"3620_13",13,1,18,"counted on 15-Jun; aphids on pedicels",TRUE,1,"110",TRUE
2024,"3638_13",13,2,44,"counted on 11-Jun",TRUE,3,"103; 117; 117",TRUE
2024,"3638_13",13,1,42,"counted on 11-Jun",TRUE,3,"103; 117; 117",TRUE
2024,"3675_13",13,1,36,"counted on 15-Jun",TRUE,2,"131; 138",TRUE
2024,"3675_13",13,2,0,"counted on 15-Jun",TRUE,2,"131; 138",TRUE
2024,"3775_13",13,1,68,"counted on 11-Jun",TRUE,2,"103; 131",TRUE
