"year","plantid","plot","tag","umbel.no","no.seeds","notes"
2022,"3480_2",2,"3480","1",0,";"
2022,"3891_2",2,"3891","1",2,";"
2022,"3013_2",2,"3013","1",12,"umble nibbled on;"
2022,"3550_2",2,"3550","1",46,";"
2022,"3550_2",2,"3550","2",18,";"
2022,"3164_2",2,"3164","1",2,";"
2022,"3175_2",2,"3175","1",0,";"
2022,"3155_2",2,"3155","1",4,";"
2022,"3352_2",2,"3352","1",8,";"
2022,"3352_2",2,"3352","2",0,";"
2022,"3159_2",2,"3159","1",0,";"
2022,"3159_2",2,"3159","2",0,";"
2022,"3477_2",2,"3477","1",34,";"
2022,"3562_2",2,"3562","1",0,";"
2022,"3190_2",2,"3190","1",60,"umble maybe nibbled on;"
2022,"3163_2",2,"3163","1",30,";"
2022,"3759_3",3,"3759","1",134,";"
2022,"3759_3",3,"3759","2",146,";"
2022,"3759_3",3,"3759","3",79,";"
2022,"3759_3",3,"3759","4",0,";"
2022,"3462_3",3,"3462","1",118,";"
2022,"3462_3",3,"3462","2",142,";"
2022,"3462_3",3,"3462","3",0,";"
2022,"3056_3",3,"3056","1",62,";"
2022,"3349_3",3,"3349","1",58,";"
2022,"3349_3",3,"3349","2",2,";"
2022,"3349_3",3,"3349","3",0,"broken off;"
2022,"3304_3",3,"3304","1",106,";"
2022,"3304_3",3,"3304","2",0,";"
2022,"3797_3",3,"3797","1",248,";"
2022,"3797_3",3,"3797","2",0,";"
2022,"3015_3",3,"3015","1",0,";"
2022,"7573_3",3,"7573","1",14,";"
2022,"3798_3",3,"3798","1",0,";"
2022,"3796_3",3,"3796","1",0,";"
2022,"3651_3",3,"3651","1",62,";"
2022,"3846_3",3,"3846","1",0,"broken off;"
2022,"3624_3",3,"3624","1",48,";"
2022,"3081_3",3,"3081","1",58,";"
2022,"3313_3",3,"3313","1",78,";"
2022,"3799_3",3,"3799","1",170,";"
2022,"3906_3",3,"3906","1",24,";"
2022,"1411_4",4,"1411","1",42,";"
2022,"3364_4",4,"3364","1",128,";"
2022,"3364_4",4,"3364","2",30,";"
2022,"3364_4",4,"3364","3",0,";"
2022,"7550_4",4,"7550","1",30,";"
2022,"7550_4",4,"7550","2",0,"broken off;"
2022,"3730_4",4,"3730","1",140,";"
2022,"3656_4",4,"3656","1",90,";"
2022,"3007_4",4,"3007","1",56,";"
2022,"3182_4",4,"3182","1",126,"some seeds rotting (didn’t count rotting seeds);"
2022,"3182_4",4,"3182","2",0,";"
2022,"2230_4",4,"2230","1",12,";"
2022,"2230_4",4,"2230","2",12,";"
2022,"7591_4",4,"7591","1",40,";"
2022,"7591_4",4,"7591","2",0,";"
2022,"7545_4",4,"7545","1",94,";"
2022,"3122_4",4,"3122","1",34,";"
2022,"3122_4",4,"3122","2",18,";"
2022,"3122_4",4,"3122","3",0,";"
2022,"3787_4",4,"3787","1",86,";"
2022,"3353_10",10,"3353","1",114,";"
2022,"3353_10",10,"3353","2",0,";"
2022,"3655_10",10,"3655","1",236,";"
2022,"3655_10",10,"3655","2",0,";"
2022,"3547_10",10,"3547","1",28,";"
2022,"3190_10",10,"3190","1",132,";"
2022,"3190_10",10,"3190","2",0,";"
2022,"3578_12",12,"3578","1",104,";"
2022,"3578_12",12,"3578","2",62,";"
2022,"3578_12",12,"3578","3",0,";"
2022,"3395_12",12,"3395","1",82,";"
2022,"3395_12",12,"3395","2",86,";"
2022,"3395_12",12,"3395","3",0,";"
2022,"3129_12",12,"3129","1",368,"weird twisting stalk, hard to count seends;"
2022,"3129_12",12,"3129","2",0,";"
2022,"3135_12",12,"3135","1",82,";"
2022,"3135_12",12,"3135","2",84,";"
2022,"3135_12",12,"3135","3",0,";"
2022,"3536_12",12,"3536","1",68,";"
2022,"3536_12",12,"3536","2",0,";"
2022,"3536_12",12,"3536","3",0,";"
2022,"3002_12",12,"3002","1",98,";"
2022,"3002_12",12,"3002","2",64,";"
2022,"3002_12",12,"3002","3",6,";"
2022,"3360_14",14,"3360","1",82,";"
2022,"3360_14",14,"3360","2",0,";"
2022,"3360_14",14,"3360","3",0,";"
2022,"3556_14",14,"3556","1",2,";"
2022,"3556_14",14,"3556","2",0,";"
2022,"3556_14",14,"3556","3",0,";"
2022,"3526_14",14,"3526","1",40,";"
2022,"3526_14",14,"3526","2",40,";"
2022,"3526_14",14,"3526","3",0,";"
2022,"3004_14",14,"3004","1",10,";"
2022,"3004_14",14,"3004","2",0,";"
2022,"3004_14",14,"3004","3",0,";"
2022,"3913_14",14,"3913","1",56,";"
2022,"3913_14",14,"3913","2",0,";"
2022,"3432_14",14,"3432","1",134,";"
2022,"3432_14",14,"3432","2",122,";"
2022,"3432_14",14,"3432","3",0,";"
2022,"3699_14",14,"3699","1",126,";"
2022,"3699_14",14,"3699","2",68,";"
2022,"3459_14",14,"3459","1",92,";"
2022,"3459_14",14,"3459","2",0,";"
2022,"3035_14",14,"3035","1",46,"order unknown;"
2022,"3035_14",14,"3035","2",0,";"
2022,"3035_14",14,"3035","3",0,";"
2022,"3671_14",14,"3671","1",96,";"
2022,"3671_14",14,"3671","2",2,";"
2022,"3752_14",14,"3752","1",6,";"
2022,"3433_14",14,"3433","1",210,";"
2022,"3433_14",14,"3433","2",0,";"
2022,"3661_14",14,"3661","1",140,";"
2022,"3661_14",14,"3661","2",142,";"
2022,"3661_14",14,"3661","3",0,";"
2022,"3363_14",14,"3363","1",102,"order unknown;"
2022,"3363_14",14,"3363","2",62,";"
2022,"3363_14",14,"3363","3",0,";"
2022,"3363_14",14,"3363","4",0,";"
2022,"7576_14",14,"7576","1",2,";"
2022,"3158_14",14,"3158","1",116,";"
2022,"3158_14",14,"3158","2",4,";"
2022,"3430_14",14,"3430","1",0,";"
2022,"3430_14",14,"3430","2",0,";"
2022,"3469_14",14,"3469","1",2,";"
2022,"3469_14",14,"3469","2",0,";"
2022,"3305_14",14,"3305","1",2,";"
2022,"7557_14",14,"7557","1",90,";"
2022,"7557_14",14,"7557","2",0,";"
2022,"3366_14",14,"3366","1",132,";"
2022,"3366_14",14,"3366","2",0,";"
2022,"3838_14",14,"3838","1",0,"broken off;"
2022,"3101_14",14,"3101","1",16,";"
2022,"3379_14",14,"3379","1",0,"broken off/eaten;"
2022,"3086_14",14,"3086","1",64,";"
2022,"3086_14",14,"3086","2",0,";"
2022,"3463_14",14,"3463","1",0,";"
2022,"3607_14",14,"3607","1",0,";"
2022,"3607_14",14,"3607","2",0,";"
2022,"3926_14",14,"3926","1",0,";"
2022,"3118_14",14,"3118","1",62,";"
2022,"7575_14",14,"7575","1",0,";"
2022,"3816_14",14,"3816","1",26,";"
2022,"3682_14",14,"3682","1",16,";"
2022,"3682_14",14,"3682","2",38,";"
2022,"3682_14",14,"3682","3",104,";"
2022,"3885_14",14,"3885","1",76,";"
2022,"3711_14",14,"3711","1",44,";"
2022,"3575_14",14,"3575","1",0,";"
2022,"3464_14",14,"3464","1",28,";"
2022,"3385_14",14,"3385","1",86,";"
2022,"3440_14",14,"3440","1",4,";"
2022,"3496_14",14,"3496","1",0,";"
2022,"3776_14",14,"3776","1",6,";"
2022,"3149_14",14,"3149","1",106,";"
2022,"3149_14",14,"3149","3",0,";"
2022,"3149_14",14,"3149","2",128,";"
2022,"3829_14",14,"3829","1",48,";"
2022,"3675_13",13,"3675","1",NA,";*** 10 or 104?"
2022,"3675_13",13,"3675","2",0,";"
2022,"3373_13",13,"3373","1",134,";"
2022,"3373_13",13,"3373","2",0,";"
2022,"7532_13",13,"7532","1",68,";"
2022,"7532_13",13,"7532","2",0,";"
2022,"3358_13",13,"3358","1",80,";"
2022,"3358_13",13,"3358","2",0,";"
2022,"3358_13",13,"3358","3",0,";"
2022,"3494_13",13,"3494","1",70,";"
2022,"3494_13",13,"3494","2",96,";"
