"Year","tagplot","finalid.phen","n.phen.umbel","n.lost.umbel","mean.bud.day","plantid","finalid.demo","n.demo.umbels","No.leaves","Leaf.length","Plot","trt","prev.umbels","prev.leaves","prev.length","cur.size","prev.flwd","finalid.seed","no.seeds"
2022,"3190_10","3190_10",2,1,116,"3190_10_1B","3190_10_1B",2,3,17,10,"drought",1,2,13.5,3.93182563272433,TRUE,"3190_10",132
2022,"3190_10","3190_10",2,1,116,"3190_10_1B","3190_10_1B",2,3,17,10,"drought",1,2,13.5,3.93182563272433,TRUE,"3190_10",0
2022,"3190_2","3190_2",1,0,137,"3190_2_18C","3190_2_18C",1,3,17,2,"control",0,1,10.5,3.93182563272433,FALSE,"3190_2",60
2022,"3192_1","3192_1",1,0,130,"3192_1_11B","3192_1_11B",1,2,15,1,"irrigated",1,3,14,3.40119738166216,TRUE,"3192_1",42
2022,"3193_5","3193_5",1,0,144,"3193_5_3B","3193_5_3B",1,6,20.5,5,"drought",0,2,17.5,4.81218435537242,FALSE,"3193_5",38
2022,"3196_13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3196_13",0
2022,"3196_13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3196_13",0
2022,"3196_5","3196_5",2,0,126.5,"3196_5_4D","3196_5_4D",2,6,18,5,"drought",0,0,NA,4.68213122712422,FALSE,"3196_5",20
2022,"3196_5","3196_5",2,0,126.5,"3196_5_4D","3196_5_4D",2,6,18,5,"drought",0,0,NA,4.68213122712422,FALSE,"3196_5",84
2022,"3197_5","3197_5",4,0,128.25,"3197_5_3A","3197_5_3A",4,7,14,5,"drought",2,6,17,4.58496747867057,TRUE,"3197_5",138
2022,"3197_5","3197_5",4,0,128.25,"3197_5_3A","3197_5_3A",4,7,14,5,"drought",2,6,17,4.58496747867057,TRUE,"3197_5",6
2022,"3197_5","3197_5",4,0,128.25,"3197_5_3A","3197_5_3A",4,7,14,5,"drought",2,6,17,4.58496747867057,TRUE,"3197_5",160
2022,"3197_5","3197_5",4,0,128.25,"3197_5_3A","3197_5_3A",4,7,14,5,"drought",2,6,17,4.58496747867057,TRUE,"3197_5",14
2022,"3198_5","3198_5",2,1,119.5,"3198_5_9B","3198_5_9B",2,2,10,5,"drought",0,1,15,2.99573227355399,FALSE,"3198_5",0
2022,"3198_5","3198_5",2,1,119.5,"3198_5_9B","3198_5_9B",2,2,10,5,"drought",0,1,15,2.99573227355399,FALSE,"3198_5",6
2022,"3199_5","3199_5",2,0,126.5,"3199_5_4B","3199_5_4B",2,5,18,5,"drought",0,3,14,4.49980967033027,FALSE,"3199_5",2
2022,"3199_5","3199_5",2,0,126.5,"3199_5_4B","3199_5_4B",2,5,18,5,"drought",0,3,14,4.49980967033027,FALSE,"3199_5",68
