"size.prev","size.cur","trt","p.size.cur","perturb.param","orig.par.val"
1.2,0.7,"control",0.000182253265860308,"surv_int",0.474077993457209
1.3,0.7,"control",0.000156743753974619,"surv_int",0.474077993457209
1.4,0.7,"control",0.000134396422024737,"surv_int",0.474077993457209
1.5,0.7,"control",0.000114888942292716,"surv_int",0.474077993457209
1.6,0.7,"control",9.79202048180891e-05,"surv_int",0.474077993457209
1.7,0.7,"control",8.32109316616795e-05,"surv_int",0.474077993457209
1.8,0.7,"control",7.05038409091756e-05,"surv_int",0.474077993457209
1.9,0.7,"control",5.95634289391004e-05,"surv_int",0.474077993457209
2,0.7,"control",5.01754373827906e-05,"surv_int",0.474077993457209
2.1,0.7,"control",4.21460675812581e-05,"surv_int",0.474077993457209
2.2,0.7,"control",3.53010005856598e-05,"surv_int",0.474077993457209
2.3,0.7,"control",2.94842752154657e-05,"surv_int",0.474077993457209
2.4,0.7,"control",2.45570707027489e-05,"surv_int",0.474077993457209
2.5,0.7,"control",2.03964342887745e-05,"surv_int",0.474077993457209
2.6,0.7,"control",1.68939880289005e-05,"surv_int",0.474077993457209
2.7,0.7,"control",1.39546431851876e-05,"surv_int",0.474077993457209
2.8,0.7,"control",1.14953450794435e-05,"surv_int",0.474077993457209
2.9,0.7,"control",9.44386623825611e-06,"surv_int",0.474077993457209
3,0.7,"control",7.73766114532741e-06,"surv_int",0.474077993457209
3.1,0.7,"control",6.32279195401651e-06,"surv_int",0.474077993457209
3.2,0.7,"control",5.15293110825144e-06,"surv_int",0.474077993457209
3.3,0.7,"control",4.1884439570882e-06,"surv_int",0.474077993457209
3.4,0.7,"control",3.39555209666401e-06,"surv_int",0.474077993457209
3.5,0.7,"control",2.74557629239525e-06,"surv_int",0.474077993457209
3.6,0.7,"control",2.21425637685447e-06,"surv_int",0.474077993457209
3.7,0.7,"control",1.78114443446818e-06,"surv_int",0.474077993457209
3.8,0.7,"control",1.42906682197661e-06,"surv_int",0.474077993457209
3.9,0.7,"control",1.14365008378128e-06,"surv_int",0.474077993457209
4,0.7,"control",9.12905556923805e-07,"surv_int",0.474077993457209
4.1,0.7,"control",7.26867378294164e-07,"surv_int",0.474077993457209
4.2,0.7,"control",5.7727866791541e-07,"surv_int",0.474077993457209
4.3,0.7,"control",4.57320832600411e-07,"surv_int",0.474077993457209
4.4,0.7,"control",3.6138118441793e-07,"surv_int",0.474077993457209
4.5,0.7,"control",2.84854373286262e-07,"surv_int",0.474077993457209
4.6,0.7,"control",2.23973471951328e-07,"surv_int",0.474077993457209
4.7,0.7,"control",1.7566690783906e-07,"surv_int",0.474077993457209
4.8,0.7,"control",1.37437796537194e-07,"surv_int",0.474077993457209
4.9,0.7,"control",1.07262585769009e-07,"surv_int",0.474077993457209
5,0.7,"control",8.35062591193895e-08,"surv_int",0.474077993457209
5.1,0.7,"control",6.48516701336707e-08,"surv_int",0.474077993457209
5.2,0.7,"control",5.02408762421527e-08,"surv_int",0.474077993457209
5.3,0.7,"control",3.88266162643551e-08,"surv_int",0.474077993457209
5.4,0.7,"control",2.99323241892189e-08,"surv_int",0.474077993457209
5.5,0.7,"control",2.30192955871265e-08,"surv_int",0.474077993457209
5.6,0.7,"control",1.76598221363193e-08,"surv_int",0.474077993457209
5.7,0.7,"control",1.35152855691124e-08,"surv_int",0.474077993457209
5.8,0.7,"control",1.03183564112328e-08,"surv_int",0.474077993457209
5.9,0.7,"control",7.85857694174849e-09,"surv_int",0.474077993457209
6,0.7,"control",5.97072367361504e-09,"surv_int",0.474077993457209
0.5,0.8,"control",0.000791804649466902,"surv_int",0.474077993457209
0.6,0.8,"control",0.000701831591584976,"surv_int",0.474077993457209
0.7,0.8,"control",0.000620097167932034,"surv_int",0.474077993457209
0.8,0.8,"control",0.000546144983737629,"surv_int",0.474077993457209
0.9,0.8,"control",0.000479498475991498,"surv_int",0.474077993457209
1,0.8,"control",0.000419669657456391,"surv_int",0.474077993457209
1.1,0.8,"control",0.000366166957456894,"surv_int",0.474077993457209
