"size.prev","size.cur","trt","pred.surv","pred.grow.mean","p.grow.size","p.size.cur"
3.3,0.5,"control",0.928129241713254,3.25824220415304,1.63024621824351e-06,1.51307918634425e-06
3.4,0.5,"control",0.93222999065684,3.27933551705866,1.38500284896356e-06,1.291141192949e-06
3.5,0.5,"control",0.936112867759162,3.30042882996429,1.1751917689414e-06,1.10011213699069e-06
3.6,0.5,"control",0.939787644927793,3.32152214286991,9.9592681129132e-07,9.35959712503916e-07
3.7,0.5,"control",0.943263860444122,3.34261545577553,8.42959513160773e-07,7.95133244582128e-07
3.8,0.5,"control",0.946550799054072,3.36370876868116,7.12601311349345e-07,6.74513340664702e-07
3.9,0.5,"control",0.949657475986369,3.38480208158678,6.01654441577346e-07,5.7136563840433e-07
4,0.5,"control",0.952592624527524,3.40589539449241,5.07350679026381e-07,4.83298514889562e-07
4.1,0.5,"control",0.955364686796097,3.42698870739803,4.27297127915774e-07,4.08224586780125e-07
4.2,0.5,"control",0.957981807375226,3.44808202030365,3.59428334415171e-07,3.44325805424912e-07
4.3,0.5,"control",0.960451829480997,3.46917533320928,3.01964060001036e-07,2.90021933865505e-07
4.4,0.5,"control",0.962782293364321,3.4902686461149,2.53372111380362e-07,2.43942182469345e-07
4.5,0.5,"control",0.96498043666487,3.51136195902052,2.12335678319663e-07,2.0489977558444e-07
4.6,0.5,"control",0.96705319645691,3.53245527192615,1.7772468216642e-07,1.71869221978325e-07
4.7,0.5,"control",0.96900721274805,3.55354858483177,1.48570685606121e-07,1.43966065955254e-07
4.8,0.5,"control",0.970848833212727,3.57464189773739,1.2404495836413e-07,1.20428903093736e-07
4.9,0.5,"control",0.972584118962355,3.59573521064302,1.03439334264871e-07,1.00603453782052e-07
5,0.5,"control",0.974218851173383,3.61682852354864,8.61495324473803e-08,8.39284985300109e-08
5.1,0.5,"control",0.975758538412767,3.63792183645427,7.16606497659878e-08,6.99234908773695e-08
5.2,0.5,"control",0.977208424517573,3.65901514935989,5.95345626472952e-08,5.81776761689061e-08
5.3,0.5,"control",0.978573496901491,3.68010846226551,4.93990051051028e-08,4.8340557169155e-08
5.4,0.5,"control",0.979858495175935,3.70120177517114,4.09381154117285e-08,4.01135601626751e-08
5.5,0.5,"control",0.981067919987121,3.72229508807676,3.38842672655059e-08,3.32427676064576e-08
5.6,0.5,"control",0.98220604198311,3.74338840098238,2.80110223562548e-08,2.75125954004374e-08
5.7,0.5,"control",0.983276910836258,3.76448171388801,2.31270601852967e-08,2.27403042957228e-08
5.8,0.5,"control",0.984284364256927,3.78557502679363,1.90709580108215e-08,1.8771245781452e-08
5.9,0.5,"control",0.985232036943691,3.80666833969925,1.57067090231745e-08,1.54747529245841e-08
6,0.5,"control",0.986123369423719,3.82776165260488,1.29198804605436e-08,1.27405960523029e-08
0.5,0.6,"control",0.687803295132907,2.66762944279558,0.000170786687066168,0.000117467646128943
0.6,0.6,"control",0.701201890679205,2.6887227557012,0.000151116398968302,0.000105963104669207
0.7,0.6,"control",0.714264342424774,2.70981606860683,0.000133545662466511,9.53869047853236e-05
0.8,0.6,"control",0.726978091851981,2.73090938151245,0.000117871439266773,8.56899540020053e-05
0.9,0.6,"control",0.739332593578069,2.75200269441807,0.000103907763002932,7.68223959138533e-05
1,0.6,"control",0.751319280129484,2.7730960073237,9.14846040316378e-05,6.8734146843981e-05
1.1,0.6,"control",0.762931508043105,2.79418932022932,8.04467751162704e-05,6.13753794566607e-05
1.2,0.6,"control",0.774164487556197,2.81528263313494,7.06528808103765e-05,5.46969512669342e-05
1.3,0.6,"control",0.785015198257838,2.83637594604057,6.19743126605665e-05,4.86507773401279e-05
1.4,0.6,"control",0.795482293115777,2.85746925894619,5.42942917210295e-05,4.31901476813415e-05
1.5,0.6,"control",0.805565993271075,2.87856257185181,4.75069593058114e-05,3.82699908604745e-05
1.6,0.6,"control",0.815267975916801,2.89965588475744,4.15165163992382e-05,3.38470862919236e-05
1.7,0.6,"control",0.824591257455673,2.92074919766306,3.62364116972662e-05,2.98802282871302e-05
1.8,0.6,"control",0.833540073974225,2.94184251056869,3.15885778606224e-05,2.63303455266837e-05
1.9,0.6,"control",0.842119760887237,2.96293582347431,2.75027152215248e-05,2.31605799661002e-05
2,0.6,"control",0.850336633404547,2.98402913637993,2.39156218964625e-05,2.0336329409214e-05
