"size.pre","size.cur","trt","phen.umbels","seeds.per.umbel","seeds.total","recr.mean","p.size.cur"
2.2,2.2,"irrigated",0.0645642683835244,47.5462745082454,3.06979042798708,2.22103436478156,0.34828503254039
2.2,2.3,"control",0.136083077431171,25.1572711119289,3.42347887268158,2.32111744301942,0.388407460589268
2.2,2.3,"drought",0.110697398029965,27.1484068338309,3.005257997164,2.50559344666256,0.287730739356274
2.2,2.3,"irrigated",0.0645642683835244,47.5462745082454,3.06979042798708,2.22103436478156,0.34019194585426
2.2,2.4,"control",0.136083077431171,25.1572711119289,3.42347887268158,2.32111744301942,0.379407634611614
2.2,2.4,"drought",0.110697398029965,27.1484068338309,3.005257997164,2.50559344666256,0.326463841263768
2.2,2.4,"irrigated",0.0645642683835244,47.5462745082454,3.06979042798708,2.22103436478156,0.306381029778413
2.2,2.5,"control",0.136083077431171,25.1572711119289,3.42347887268158,2.32111744301942,0.341722201924922
2.2,2.5,"drought",0.110697398029965,27.1484068338309,3.005257997164,2.50559344666256,0.341532894682491
2.2,2.5,"irrigated",0.0645642683835244,47.5462745082454,3.06979042798708,2.22103436478156,0.254418298463752
2.2,2.6,"control",0.136083077431171,25.1572711119289,3.42347887268158,2.32111744301942,0.283784685233827
2.2,2.6,"drought",0.110697398029965,27.1484068338309,3.005257997164,2.50559344666256,0.329441737459827
2.2,2.6,"irrigated",0.0645642683835244,47.5462745082454,3.06979042798708,2.22103436478156,0.194797529184595
2.2,2.7,"control",0.136083077431171,25.1572711119289,3.42347887268158,2.32111744301942,0.21729680511604
2.2,2.7,"drought",0.110697398029965,27.1484068338309,3.005257997164,2.50559344666256,0.293003851027821
2.2,2.7,"irrigated",0.0645642683835244,47.5462745082454,3.06979042798708,2.22103436478156,0.137520414351527
2.2,2.8,"control",0.136083077431171,25.1572711119289,3.42347887268158,2.32111744301942,0.153414481093857
2.2,2.8,"drought",0.110697398029965,27.1484068338309,3.005257997164,2.50559344666256,0.240279469912277
2.2,2.8,"irrigated",0.0645642683835244,47.5462745082454,3.06979042798708,2.22103436478156,0.0895157652025451
2.2,2.9,"control",0.136083077431171,25.1572711119289,3.42347887268158,2.32111744301942,0.0998683783532125
2.2,2.9,"drought",0.110697398029965,27.1484068338309,3.005257997164,2.50559344666256,0.181680631139293
2.2,2.9,"irrigated",0.0645642683835244,47.5462745082454,3.06979042798708,2.22103436478156,0.0537255057856027
2.2,3,"control",0.136083077431171,25.1572711119289,3.42347887268158,2.32111744301942,0.0599429715519888
2.2,3,"drought",0.110697398029965,27.1484068338309,3.005257997164,2.50559344666256,0.126662840358438
2.2,3,"irrigated",0.0645642683835244,47.5462745082454,3.06979042798708,2.22103436478156,0.0297310416302393
2.2,3.1,"control",0.136083077431171,25.1572711119289,3.42347887268158,2.32111744301942,0.0331739485614909
2.2,3.1,"drought",0.110697398029965,27.1484068338309,3.005257997164,2.50559344666256,0.0814213770994991
2.2,3.1,"irrigated",0.0645642683835244,47.5462745082454,3.06979042798708,2.22103436478156,0.0151700972647879
2.2,3.2,"control",0.136083077431171,25.1572711119289,3.42347887268158,2.32111744301942,0.0169279627011015
2.2,3.2,"drought",0.110697398029965,27.1484068338309,3.005257997164,2.50559344666256,0.0482587748477786
2.2,3.2,"irrigated",0.0645642683835244,47.5462745082454,3.06979042798708,2.22103436478156,0.00713699238929343
2.2,3.3,"control",0.136083077431171,25.1572711119289,3.42347887268158,2.32111744301942,0.00796454275488844
2.2,3.3,"drought",0.110697398029965,27.1484068338309,3.005257997164,2.50559344666256,0.026373196403674
2.2,3.3,"irrigated",0.0645642683835244,47.5462745082454,3.06979042798708,2.22103436478156,0.0030959271298963
2.2,3.4,"control",0.136083077431171,25.1572711119289,3.42347887268158,2.32111744301942,0.00345513984980005
2.2,3.4,"drought",0.110697398029965,27.1484068338309,3.005257997164,2.50559344666256,0.0132891705115512
2.2,3.4,"irrigated",0.0645642683835244,47.5462745082454,3.06979042798708,2.22103436478156,0.00123826858311224
2.2,3.5,"control",0.136083077431171,25.1572711119289,3.42347887268158,2.32111744301942,0.00138203499809442
2.2,3.5,"drought",0.110697398029965,27.1484068338309,3.005257997164,2.50559344666256,0.00617421298329354
2.2,3.5,"irrigated",0.0645642683835244,47.5462745082454,3.06979042798708,2.22103436478156,0.00045665435804957
2.2,3.6,"control",0.136083077431171,25.1572711119289,3.42347887268158,2.32111744301942,0.000509707565332315
2.2,3.6,"drought",0.110697398029965,27.1484068338309,3.005257997164,2.50559344666256,0.00264492869001116
2.2,3.6,"irrigated",0.0645642683835244,47.5462745082454,3.06979042798708,2.22103436478156,0.000155277663334786
2.2,3.7,"control",0.136083077431171,25.1572711119289,3.42347887268158,2.32111744301942,0.00017332920546856
2.2,3.7,"drought",0.110697398029965,27.1484068338309,3.005257997164,2.50559344666256,0.00104470808653337
2.2,3.7,"irrigated",0.0645642683835244,47.5462745082454,3.06979042798708,2.22103436478156,4.86831863547743e-05
2.2,3.8,"control",0.136083077431171,25.1572711119289,3.42347887268158,2.32111744301942,5.43464325221388e-05
2.2,3.8,"drought",0.110697398029965,27.1484068338309,3.005257997164,2.50559344666256,0.000380473639917518
2.2,3.8,"irrigated",0.0645642683835244,47.5462745082454,3.06979042798708,2.22103436478156,1.40733546419301e-05
2.2,3.9,"control",0.136083077431171,25.1572711119289,3.42347887268158,2.32111744301942,1.57115475263541e-05
2.2,3.9,"drought",0.110697398029965,27.1484068338309,3.005257997164,2.50559344666256,0.000127762328440047
2.2,3.9,"irrigated",0.0645642683835244,47.5462745082454,3.06979042798708,2.22103436478156,3.75115401883374e-06
2.2,4,"control",0.136083077431171,25.1572711119289,3.42347887268158,2.32111744301942,4.18808525752155e-06
2.2,4,"drought",0.110697398029965,27.1484068338309,3.005257997164,2.50559344666256,3.95575778108961e-05
2.2,4,"irrigated",0.0645642683835244,47.5462745082454,3.06979042798708,2.22103436478156,9.21893575915738e-07
2.2,4.1,"control",0.136083077431171,25.1572711119289,3.42347887268158,2.32111744301942,1.02934436824135e-06
2.2,4.1,"drought",0.110697398029965,27.1484068338309,3.005257997164,2.50559344666256,1.12928924465481e-05
2.2,4.1,"irrigated",0.0645642683835244,47.5462745082454,3.06979042798708,2.22103436478156,2.08903304147324e-07
2.2,4.2,"control",0.136083077431171,25.1572711119289,3.42347887268158,2.32111744301942,2.33267642063351e-07
2.2,4.2,"drought",0.110697398029965,27.1484068338309,3.005257997164,2.50559344666256,2.97255104336996e-06
2.2,4.2,"irrigated",0.0645642683835244,47.5462745082454,3.06979042798708,2.22103436478156,4.36474079325211e-08
2.2,4.3,"control",0.136083077431171,25.1572711119289,3.42347887268158,2.32111744301942,4.87412804530248e-08
2.2,4.3,"drought",0.110697398029965,27.1484068338309,3.005257997164,2.50559344666256,7.2144308955757e-07
2.2,4.3,"irrigated",0.0645642683835244,47.5462745082454,3.06979042798708,2.22103436478156,8.4085330212696e-09
2.2,4.4,"control",0.136083077431171,25.1572711119289,3.42347887268158,2.32111744301942,9.39048442666773e-09
2.2,4.4,"drought",0.110697398029965,27.1484068338309,3.005257997164,2.50559344666256,1.61444577497895e-07
2.2,4.4,"irrigated",0.0645642683835244,47.5462745082454,3.06979042798708,2.22103436478156,1.49358739076173e-09
2.2,4.5,"control",0.136083077431171,25.1572711119289,3.42347887268158,2.32111744301942,1.66812152911287e-09
2.2,4.5,"drought",0.110697398029965,27.1484068338309,3.005257997164,2.50559344666256,3.33114452775638e-08
2.2,4.5,"irrigated",0.0645642683835244,47.5462745082454,3.06979042798708,2.22103436478156,2.44618709691886e-10
2.2,4.6,"control",0.136083077431171,25.1572711119289,3.42347887268158,2.32111744301942,2.73222213988068e-10
2.2,4.6,"drought",0.110697398029965,27.1484068338309,3.005257997164,2.50559344666256,6.3374145520044e-09
2.2,4.6,"irrigated",0.0645642683835244,47.5462745082454,3.06979042798708,2.22103436478156,3.69400374636592e-11
2.2,4.7,"control",0.136083077431171,25.1572711119289,3.42347887268158,2.32111744301942,4.12622544566773e-11
2.2,4.7,"drought",0.110697398029965,27.1484068338309,3.005257997164,2.50559344666256,1.11167895900217e-09
2.2,4.7,"irrigated",0.0645642683835244,47.5462745082454,3.06979042798708,2.22103436478156,5.14343931406685e-12
2.2,4.8,"control",0.136083077431171,25.1572711119289,3.42347887268158,2.32111744301942,5.74564154040966e-12
2.2,4.8,"drought",0.110697398029965,27.1484068338309,3.005257997164,2.50559344666256,1.79802316525507e-10
2.2,4.8,"irrigated",0.0645642683835244,47.5462745082454,3.06979042798708,2.22103436478156,6.60326211192929e-13
2.2,4.9,"control",0.136083077431171,25.1572711119289,3.42347887268158,2.32111744301942,7.37688019761876e-13
2.2,4.9,"drought",0.110697398029965,27.1484068338309,3.005257997164,2.50559344666256,2.6813889035803e-11
2.2,4.9,"irrigated",0.0645642683835244,47.5462745082454,3.06979042798708,2.22103436478156,7.81649548199699e-14
2.2,5,"control",0.136083077431171,25.1572711119289,3.42347887268158,2.32111744301942,8.73284116633558e-14
2.2,5,"drought",0.110697398029965,27.1484068338309,3.005257997164,2.50559344666256,3.68699849941265e-12
2.2,5,"irrigated",0.0645642683835244,47.5462745082454,3.06979042798708,2.22103436478156,8.53128113670747e-15
2.2,5.1,"control",0.136083077431171,25.1572711119289,3.42347887268158,2.32111744301942,9.53206554569965e-15
2.2,5.1,"drought",0.110697398029965,27.1484068338309,3.005257997164,2.50559344666256,4.67449545564885e-13
2.2,5.1,"irrigated",0.0645642683835244,47.5462745082454,3.06979042798708,2.22103436478156,8.58548936055974e-16
2.2,5.2,"control",0.136083077431171,25.1572711119289,3.42347887268158,2.32111744301942,9.59327969957249e-16
2.2,5.2,"drought",0.110697398029965,27.1484068338309,3.005257997164,2.50559344666256,5.46443357366111e-14
2.2,5.2,"irrigated",0.0645642683835244,47.5462745082454,3.06979042798708,2.22103436478156,7.96644354784931e-17
2.2,5.3,"control",0.136083077431171,25.1572711119289,3.42347887268158,2.32111744301942,8.90216873236419e-17
2.2,5.3,"drought",0.110697398029965,27.1484068338309,3.005257997164,2.50559344666256,5.88984937030538e-15
2.2,5.3,"irrigated",0.0645642683835244,47.5462745082454,3.06979042798708,2.22103436478156,6.81573253829648e-18
2.2,5.4,"control",0.136083077431171,25.1572711119289,3.42347887268158,2.32111744301942,7.61681073985571e-18
2.2,5.4,"drought",0.110697398029965,27.1484068338309,3.005257997164,2.50559344666256,5.85344919422132e-16
2.2,5.4,"irrigated",0.0645642683835244,47.5462745082454,3.06979042798708,2.22103436478156,5.37661852703816e-19
2.2,5.5,"control",0.136083077431171,25.1572711119289,3.42347887268158,2.32111744301942,6.00895754164172e-19
2.2,5.5,"drought",0.110697398029965,27.1484068338309,3.005257997164,2.50559344666256,5.36374529164692e-17
2.2,5.5,"irrigated",0.0645642683835244,47.5462745082454,3.06979042798708,2.22103436478156,3.91070031973523e-20
2.2,5.6,"control",0.136083077431171,25.1572711119289,3.42347887268158,2.32111744301942,4.37092882117124e-20
2.2,5.6,"drought",0.110697398029965,27.1484068338309,3.005257997164,2.50559344666256,4.53182433798762e-18
2.2,5.6,"irrigated",0.0645642683835244,47.5462745082454,3.06979042798708,2.22103436478156,2.62269916232799e-21
2.2,5.7,"control",0.136083077431171,25.1572711119289,3.42347887268158,2.32111744301942,2.93154767311854e-21
2.2,5.7,"drought",0.110697398029965,27.1484068338309,3.005257997164,2.50559344666256,3.53042196605711e-19
2.2,5.7,"irrigated",0.0645642683835244,47.5462745082454,3.06979042798708,2.22103436478156,1.62177666109563e-22
2.2,5.8,"control",0.136083077431171,25.1572711119289,3.42347887268158,2.32111744301942,1.81287899078395e-22
2.2,5.8,"drought",0.110697398029965,27.1484068338309,3.005257997164,2.50559344666256,2.53588055619492e-20
2.2,5.8,"irrigated",0.0645642683835244,47.5462745082454,3.06979042798708,2.22103436478156,9.24660366384971e-24
2.2,5.9,"control",0.136083077431171,25.1572711119289,3.42347887268158,2.32111744301942,1.03368758184128e-23
2.2,5.9,"drought",0.110697398029965,27.1484068338309,3.005257997164,2.50559344666256,1.67949841742119e-21
2.2,5.9,"irrigated",0.0645642683835244,47.5462745082454,3.06979042798708,2.22103436478156,4.86096022681652e-25
2.2,6,"control",0.136083077431171,25.1572711119289,3.42347887268158,2.32111744301942,5.43448519372275e-25
2.2,6,"drought",0.110697398029965,27.1484068338309,3.005257997164,2.50559344666256,1.02560240868328e-22
2.2,6,"irrigated",0.0645642683835244,47.5462745082454,3.06979042798708,2.22103436478156,2.35619114957804e-26
2.3,0.5,"control",0.165711610519924,26.267954115432,4.3529049815317,2.32111744301942,7.06124769082972e-07
2.3,0.5,"drought",0.135721650881879,27.9197205679302,3.78931056764023,2.50559344666256,3.50268633191757e-08
2.3,0.5,"irrigated",0.0805422442603977,47.9137798306592,3.85908335855987,2.22103436478156,2.638965146719e-06
2.3,0.6,"control",0.165711610519924,26.267954115432,4.3529049815317,2.32111744301942,2.97320355807614e-06
2.3,0.6,"drought",0.135721650881879,27.9197205679302,3.78931056764023,2.50559344666256,1.71306865286021e-07
2.3,0.6,"irrigated",0.0805422442603977,47.9137798306592,3.85908335855987,2.22103436478156,1.0244628031596e-05
2.3,0.7,"control",0.165711610519924,26.267954115432,4.3529049815317,2.32111744301942,1.15429408451809e-05
2.3,0.7,"drought",0.135721650881879,27.9197205679302,3.78931056764023,2.50559344666256,7.72497204529906e-07
2.3,0.7,"irrigated",0.0805422442603977,47.9137798306592,3.85908335855987,2.22103436478156,3.66697004544687e-05
2.3,0.8,"control",0.165711610519924,26.267954115432,4.3529049815317,2.32111744301942,4.13196775933597e-05
2.3,0.8,"drought",0.135721650881879,27.9197205679302,3.78931056764023,2.50559344666256,3.21194198946874e-06
2.3,0.8,"irrigated",0.0805422442603977,47.9137798306592,3.85908335855987,2.22103436478156,0.000121022789323139
2.3,0.9,"control",0.165711610519924,26.267954115432,4.3529049815317,2.32111744301942,0.000136378530440963
2.3,0.9,"drought",0.135721650881879,27.9197205679302,3.78931056764023,2.50559344666256,1.23136582854935e-05
2.3,0.9,"irrigated",0.0805422442603977,47.9137798306592,3.85908335855987,2.22103436478156,0.000368277835743707
2.3,1,"control",0.165711610519924,26.267954115432,4.3529049815317,2.32111744301942,0.000415034038744417
2.3,1,"drought",0.135721650881879,27.9197205679302,3.78931056764023,2.50559344666256,4.35266386335657e-05
2.3,1,"irrigated",0.0805422442603977,47.9137798306592,3.85908335855987,2.22103436478156,0.0010333147631182
2.3,1.1,"control",0.165711610519924,26.267954115432,4.3529049815317,2.32111744301942,0.00116458195031978
2.3,1.1,"drought",0.135721650881879,27.9197205679302,3.78931056764023,2.50559344666256,0.00014186386583052
2.3,1.1,"irrigated",0.0805422442603977,47.9137798306592,3.85908335855987,2.22103436478156,0.00267324223666616
2.3,1.2,"control",0.165711610519924,26.267954115432,4.3529049815317,2.32111744301942,0.0030130408584796
2.3,1.2,"drought",0.135721650881879,27.9197205679302,3.78931056764023,2.50559344666256,0.000426321346398015
2.3,1.2,"irrigated",0.0805422442603977,47.9137798306592,3.85908335855987,2.22103436478156,0.0063766506180748
2.3,1.3,"control",0.165711610519924,26.267954115432,4.3529049815317,2.32111744301942,0.00718767803741619
2.3,1.3,"drought",0.135721650881879,27.9197205679302,3.78931056764023,2.50559344666256,0.00118127495235344
2.3,1.3,"irrigated",0.0805422442603977,47.9137798306592,3.85908335855987,2.22103436478156,0.0140247638827798
2.3,1.4,"control",0.165711610519924,26.267954115432,4.3529049815317,2.32111744301942,0.0158095983809977
2.3,1.4,"drought",0.135721650881879,27.9197205679302,3.78931056764023,2.50559344666256,0.00301796042040223
2.3,1.4,"irrigated",0.0805422442603977,47.9137798306592,3.85908335855987,2.22103436478156,0.0284411480049194
2.3,1.5,"control",0.165711610519924,26.267954115432,4.3529049815317,2.32111744301942,0.0320628178465218
2.3,1.5,"drought",0.135721650881879,27.9197205679302,3.78931056764023,2.50559344666256,0.00710926515371366
2.3,1.5,"irrigated",0.0805422442603977,47.9137798306592,3.85908335855987,2.22103436478156,0.0531798752760482
2.3,1.6,"control",0.165711610519924,26.267954115432,4.3529049815317,2.32111744301942,0.0599557950039283
2.3,1.6,"drought",0.135721650881879,27.9197205679302,3.78931056764023,2.50559344666256,0.0154413231897522
2.3,1.6,"irrigated",0.0805422442603977,47.9137798306592,3.85908335855987,2.22103436478156,0.0916845450943386
2.3,1.7,"control",0.165711610519924,26.267954115432,4.3529049815317,2.32111744301942,0.103373512268648
2.3,1.7,"drought",0.135721650881879,27.9197205679302,3.78931056764023,2.50559344666256,0.0309238061015823
2.3,1.7,"irrigated",0.0805422442603977,47.9137798306592,3.85908335855987,2.22103436478156,0.145744972495981
2.3,1.8,"control",0.165711610519924,26.267954115432,4.3529049815317,2.32111744301942,0.164337246734512
2.3,1.8,"drought",0.135721650881879,27.9197205679302,3.78931056764023,2.50559344666256,0.0571018262306335
2.3,1.8,"irrigated",0.0805422442603977,47.9137798306592,3.85908335855987,2.22103436478156,0.213618892286294
2.3,1.9,"control",0.165711610519924,26.267954115432,4.3529049815317,2.32111744301942,0.240885894002206
2.3,1.9,"drought",0.135721650881879,27.9197205679302,3.78931056764023,2.50559344666256,0.0972200147590133
2.3,1.9,"irrigated",0.0805422442603977,47.9137798306592,3.85908335855987,2.22103436478156,0.288691743152163
2.3,2,"control",0.165711610519924,26.267954115432,4.3529049815317,2.32111744301942,0.32556323803765
2.3,2,"drought",0.135721650881879,27.9197205679302,3.78931056764023,2.50559344666256,0.152619489056427
2.3,2,"irrigated",0.0805422442603977,47.9137798306592,3.85908335855987,2.22103436478156,0.359730859186769
2.3,2.1,"control",0.165711610519924,26.267954115432,4.3529049815317,2.32111744301942,0.405702774420099
2.3,2.1,"drought",0.135721650881879,27.9197205679302,3.78931056764023,2.50559344666256,0.220908758988144
2.3,2.1,"irrigated",0.0805422442603977,47.9137798306592,3.85908335855987,2.22103436478156,0.413304044422076
2.3,2.2,"control",0.165711610519924,26.267954115432,4.3529049815317,2.32111744301942,0.466153794816881
2.3,2.2,"drought",0.135721650881879,27.9197205679302,3.78931056764023,2.50559344666256,0.294825133958751
2.3,2.2,"irrigated",0.0805422442603977,47.9137798306592,3.85908335855987,2.22103436478156,0.437834765806286
