"boot","grow.int_control","grow.int_drought","grow.int_irrigated","grow.slope_control","grow.slope_drought","grow.slope_irrigated"
30,2.92018881070375,2.94793102691735,2.30066727232486,0.0982488429553379,0.134282608017008,0.306966971183568
31,2.74506632789232,3.01343294975586,2.7392373747513,0.148466952805505,0.118531853614231,0.181987880213537
32,2.68975930533186,3.16661289023274,2.67584281737457,0.169618520537067,0.0756545423914463,0.186949913803645
33,2.88178393818528,3.01702663727706,2.34289920359425,0.100565176268884,0.112667663709093,0.293330841897411
34,3.02901352803214,2.93130843394889,2.58580630685003,0.070622535324921,0.126245130796706,0.222477547069342
35,2.85895717718512,2.99749092893687,2.3386202692908,0.115320786172624,0.126332273643652,0.280606886066724
36,2.85578983117737,3.07471727230821,2.42338159536988,0.113606892301645,0.0928962819528946,0.26068142227027
37,2.7858555429185,2.81632042986451,2.48879263137445,0.129521591709978,0.175001072541428,0.255062959977024
38,2.72242512068099,2.80131988697648,2.34741410270194,0.15670585642925,0.170718470049282,0.288657087795454
39,2.94881220929905,3.20982664261087,2.5164956322789,0.0905367469383281,0.053878391553559,0.23401353858627
40,2.85121509721921,2.90714604772084,2.54603540391664,0.109136088178544,0.133799760498304,0.241047228971918
41,2.73250559333906,2.8944339438919,2.487388746851,0.152779827989688,0.144965219436182,0.249034907667217
42,2.94857328139041,3.2322942388031,2.6403930539723,0.0821397494824603,0.0627609537973414,0.200903792403141
43,2.84269228850007,2.96545761802249,2.40599781081216,0.113638780123458,0.120560625710484,0.278802568299323
44,2.77213385541754,3.09225423748934,2.60366674474873,0.133348777828374,0.0996692813696712,0.218225054975742
45,2.93440588573548,3.07184119904338,2.64978144562648,0.0955558012596713,0.100924236115694,0.20016291901937
46,2.92029791759713,3.06956808968955,2.48558464304126,0.0934346575075696,0.103982015570345,0.245163388173819
47,2.53126637029466,3.0862484741589,2.34116792173126,0.20865322533523,0.0908735911269215,0.292006477789766
48,2.74781433149505,3.07083810801217,2.63064808878096,0.140404259148819,0.0901233957246121,0.213813940343232
49,2.92884245765135,2.99041696025757,2.45401315059672,0.108021263260396,0.121051864412905,0.254601644826043
50,2.89417341831168,3.00990578372375,2.49194042617478,0.108082145826396,0.132662428696288,0.24596211186633
51,2.87821117308713,2.76713639218657,2.5534678514931,0.109054490086937,0.183147601815667,0.229997921263174
52,2.64323023301926,2.87255962524518,2.57142942728667,0.168248319614183,0.144900424187628,0.229375494442318
53,2.73406986327056,3.07612964449389,2.59751487306618,0.148757995519637,0.0950479071322034,0.220826292808595
54,3.02118408736591,3.12311995991176,2.71738070312237,0.0609243135725356,0.0858788401572834,0.17619050081046
55,3.08909819395443,3.04217002584132,2.40867075881869,0.0446571544697213,0.101068941838989,0.283672739060343
56,2.81171197758429,3.13590162419352,2.78787004515282,0.13730572425204,0.0778988489733464,0.158243205452284
57,2.82623161145447,3.13797305472749,2.42059132066904,0.116326950570002,0.0749552517997278,0.271132615730527
58,2.69506960850974,3.32697700922537,2.70789830959023,0.166507373339519,0.0242998684947464,0.183994334257792
59,2.89634325459274,3.09776234599567,2.634508388302,0.100952864464264,0.0835337595250232,0.199250387478197
60,2.72728875234417,3.08581794666321,2.58384832538753,0.158414783399041,0.094115577575157,0.21736092153116
61,2.87441128306686,3.08970268090756,2.46263760704012,0.0991157457953505,0.0937017945069743,0.268742021138525
62,3.01761396531349,3.11141380410312,2.50412370460424,0.0617661489734644,0.0714246871209774,0.244106757826352
63,2.7580569380996,2.80224166248643,2.423029021111,0.143116043244782,0.172643550478817,0.271866671842258
64,2.94019983248668,2.91302932876713,2.59058880494178,0.0937901245631955,0.137797501650591,0.215574203520164
65,2.74197155607407,3.07387043449172,2.48310813293455,0.143108801993385,0.0985262038831359,0.261031273313171
66,2.88966569324259,3.16352393754249,2.44940887589735,0.100057922414038,0.0638639268849072,0.271532450656334
67,3.0325594482505,2.96295081239264,2.71774805186732,0.0636939289957961,0.12579673070255,0.183497984733621
68,2.97109770610008,3.03193949586669,2.39278489420262,0.0740118681786117,0.10752678665063,0.271706571649667
69,2.73729477883974,3.03718225077189,2.34851663131111,0.161413645015463,0.10679675184665,0.301791660666812
70,3.10876438035043,3.011642449379,2.36784493700392,0.0365509818171189,0.106769435239159,0.286430235809667
71,2.62894333986934,3.18072661038037,2.42575331996559,0.177936248110818,0.0827672500459134,0.273550325901686
72,2.91364975769496,2.97076759864526,2.42401419152423,0.109898664108305,0.125040169493155,0.269019003473088
73,2.79019790541521,2.94253914416489,2.51053962111408,0.131078126999173,0.135458979449886,0.245730156551326
74,2.92297558870859,3.17162562692254,2.57609946186039,0.105756436245002,0.0609726589638504,0.221586008240643
75,3.01673425123621,2.92114569144883,2.73221001325372,0.0718711244747684,0.139874709968868,0.190962100873004
76,2.89540098508776,3.12692555755388,2.74230025198275,0.0964021953290683,0.082744550424461,0.173774732140203
77,2.91064344157401,2.97858593041473,2.54577752461981,0.104127014803492,0.127174280763171,0.224097114354862
78,2.86899889328715,3.0196559926384,2.56133055832016,0.119898253047302,0.11176112767116,0.232634284021387
79,2.81871837709262,3.13647357644975,2.66448127685129,0.126297276114531,0.0910262189457181,0.202550862937583
80,2.89820240352027,3.2104263160352,2.73549095892567,0.0995142075000021,0.065891984507089,0.179310082287564
81,2.81657402667422,3.11023516228198,2.54536141887906,0.128915964169535,0.0939708795507511,0.22962946956147
