"size.pre","size.cur","trt","p.size.cur","perturb.param"
0.5,5,"irrigated",1.48146935202953e-16,"flow_int"
0.5,5.1,"control",1.01241517396136e-16,"flow_int"
0.5,5.1,"drought",6.2191220932359e-15,"flow_int"
0.5,5.1,"irrigated",1.49088268878144e-17,"flow_int"
0.5,5.2,"control",1.01891682231291e-17,"flow_int"
0.5,5.2,"drought",7.27008505782335e-16,"flow_int"
0.5,5.2,"irrigated",1.3833844848966e-18,"flow_int"
0.5,5.3,"control",9.45512875735089e-19,"flow_int"
0.5,5.3,"drought",7.83607400889287e-17,"flow_int"
0.5,5.3,"irrigated",1.18356184790009e-19,"flow_int"
0.5,5.4,"control",8.08993049119421e-20,"flow_int"
0.5,5.4,"drought",7.78764586484398e-18,"flow_int"
0.5,5.4,"irrigated",9.33657611057848e-21,"flow_int"
0.5,5.5,"control",6.38220516390823e-21,"flow_int"
0.5,5.5,"drought",7.13612563372171e-19,"flow_int"
0.5,5.5,"irrigated",6.79098786667786e-22,"flow_int"
0.5,5.6,"control",4.64242995565131e-22,"flow_int"
0.5,5.6,"drought",6.02930714778733e-20,"flow_int"
0.5,5.6,"irrigated",4.55435516227983e-23,"flow_int"
0.5,5.7,"control",3.11364135425536e-23,"flow_int"
0.5,5.7,"drought",4.69700429829672e-21,"flow_int"
0.5,5.7,"irrigated",2.81623871110313e-24,"flow_int"
0.5,5.8,"control",1.9254863387437e-24,"flow_int"
0.5,5.8,"drought",3.37382952715912e-22,"flow_int"
0.5,5.8,"irrigated",1.6056861471153e-25,"flow_int"
0.5,5.9,"control",1.09789529664288e-25,"flow_int"
0.5,5.9,"drought",2.23446697348196e-23,"flow_int"
0.5,5.9,"irrigated",8.44112798777422e-27,"flow_int"
0.5,6,"control",5.77204934902637e-27,"flow_int"
0.5,6,"drought",1.36449947576916e-24,"flow_int"
0.5,6,"irrigated",4.0915601299364e-28,"flow_int"
0.6,0.5,"control",7.76481132264136e-09,"flow_int"
0.6,0.5,"drought",4.79286449885534e-10,"flow_int"
0.6,0.5,"irrigated",4.63451207332525e-08,"flow_int"
0.6,0.6,"control",3.26944552338093e-08,"flow_int"
0.6,0.6,"drought",2.34405971656068e-09,"flow_int"
0.6,0.6,"irrigated",1.79914662223516e-07,"flow_int"
0.6,0.7,"control",1.26930482678916e-07,"flow_int"
0.6,0.7,"drought",1.0570385344866e-08,"flow_int"
0.6,0.7,"irrigated",6.43987927209831e-07,"flow_int"
0.6,0.8,"control",4.54366585726028e-07,"flow_int"
0.6,0.8,"drought",4.39502749459149e-08,"flow_int"
0.6,0.8,"irrigated",2.12538456206185e-06,"flow_int"
0.6,0.9,"control",1.49966918552994e-06,"flow_int"
0.6,0.9,"drought",1.68492665500162e-07,"flow_int"
0.6,0.9,"irrigated",6.46764159888332e-06,"flow_int"
0.6,1,"control",4.56386908436794e-06,"flow_int"
0.6,1,"drought",5.95592243474206e-07,"flow_int"
0.6,1,"irrigated",1.81469230511456e-05,"flow_int"
0.6,1.1,"control",1.28061774772897e-05,"flow_int"
0.6,1.1,"drought",1.94117948847919e-06,"flow_int"
0.6,1.1,"irrigated",4.69470899839493e-05,"flow_int"
0.6,1.2,"control",3.31325210470763e-05,"flow_int"
0.6,1.2,"drought",5.83352390888122e-06,"flow_int"
0.6,1.2,"irrigated",0.000111985807442691,"flow_int"
0.6,1.3,"control",7.90383884719272e-05,"flow_int"
0.6,1.3,"drought",1.61638532429546e-05,"flow_int"
0.6,1.3,"irrigated",0.000246300856307596,"flow_int"
0.6,1.4,"control",0.000173848240268652,"flow_int"
0.6,1.4,"drought",4.1295948272872e-05,"flow_int"
0.6,1.4,"irrigated",0.000499479290099411,"flow_int"
0.6,1.5,"control",0.00035257470343914,"flow_int"
0.6,1.5,"drought",9.72788920826082e-05,"flow_int"
0.6,1.5,"irrigated",0.000933937207663395,"flow_int"
0.6,1.6,"control",0.00065929628344444,"flow_int"
0.6,1.6,"drought",0.000211289743695087,"flow_int"
0.6,1.6,"irrigated",0.00161015059901544,"flow_int"
0.6,1.7,"control",0.00113673369589799,"flow_int"
0.6,1.7,"drought",0.000423142692176549,"flow_int"
0.6,1.7,"irrigated",0.00255955193458644,"flow_int"
0.6,1.8,"control",0.00180711365759485,"flow_int"
0.6,1.8,"drought",0.000781346914414633,"flow_int"
0.6,1.8,"irrigated",0.00375154380732189,"flow_int"
0.6,1.9,"control",0.00264887113313134,"flow_int"
0.6,1.9,"drought",0.00133029998453094,"flow_int"
0.6,1.9,"irrigated",0.00506996225687735,"flow_int"
0.6,2,"control",0.0035800147900682,"flow_int"
0.6,2,"drought",0.00208835294290121,"flow_int"
0.6,2,"irrigated",0.00631754084407491,"flow_int"
0.6,2.1,"control",0.00446125902159657,"flow_int"
0.6,2.1,"drought",0.00302278208240482,"flow_int"
0.6,2.1,"irrigated",0.00725838530383678,"flow_int"
0.6,2.2,"control",0.00512600098816395,"flow_int"
0.6,2.2,"drought",0.00403420912984687,"flow_int"
0.6,2.2,"irrigated",0.00768919025237445,"flow_int"
0.6,2.3,"control",0.00543060931175134,"flow_int"
0.6,2.3,"drought",0.00496430669701901,"flow_int"
0.6,2.3,"irrigated",0.0075105168169853,"flow_int"
0.6,2.4,"control",0.00530477615014256,"flow_int"
0.6,2.4,"drought",0.00563258078419467,"flow_int"
0.6,2.4,"irrigated",0.00676406336069415,"flow_int"
0.6,2.5,"control",0.00477786850177957,"flow_int"
0.6,2.5,"drought",0.00589257178471018,"flow_int"
0.6,2.5,"irrigated",0.00561686698479158,"flow_int"
0.6,2.6,"control",0.00396780162725285,"flow_int"
0.6,2.6,"drought",0.00568395934062628,"flow_int"
0.6,2.6,"irrigated",0.0043006018710239,"flow_int"
0.6,2.7,"control",0.00303818585638566,"flow_int"
0.6,2.7,"drought",0.00505528531002281,"flow_int"
0.6,2.7,"irrigated",0.00303607830006771,"flow_int"
0.6,2.8,"control",0.00214500027451022,"flow_int"
0.6,2.8,"drought",0.0041456153913563,"flow_int"
0.6,2.8,"irrigated",0.00197626565864391,"flow_int"
0.6,2.9,"control",0.00139633297622978,"flow_int"
0.6,2.9,"drought",0.00313459165295043,"flow_int"
0.6,2.9,"irrigated",0.00118611366206969,"flow_int"
0.6,3,"control",0.000838106608432308,"flow_int"
0.6,3,"drought",0.00218535283390858,"flow_int"
0.6,3,"irrigated",0.000656380878123621,"flow_int"
0.6,3.1,"control",0.000463829283022198,"flow_int"
0.6,3.1,"drought",0.00140478799213408,"flow_int"
0.6,3.1,"irrigated",0.000334914662181046,"flow_int"
0.6,3.2,"control",0.000236682250475087,"flow_int"
0.6,3.2,"drought",0.000832623444066982,"flow_int"
0.6,3.2,"irrigated",0.000157565462721002,"flow_int"
0.6,3.3,"control",0.000111358108268361,"flow_int"
0.6,3.3,"drought",0.000455024846568246,"flow_int"
0.6,3.3,"irrigated",6.83496862774302e-05,"flow_int"
0.6,3.4,"control",4.83088419909865e-05,"flow_int"
0.6,3.4,"drought",0.000229282134803936,"flow_int"
0.6,3.4,"irrigated",2.73376166918227e-05,"flow_int"
0.6,3.5,"control",1.93232439933858e-05,"flow_int"
0.6,3.5,"drought",0.000106525590315304,"flow_int"
0.6,3.5,"irrigated",1.00816914611795e-05,"flow_int"
0.6,3.6,"control",7.12659495871759e-06,"flow_int"
0.6,3.6,"drought",4.56337659241266e-05,"flow_int"
0.6,3.6,"irrigated",3.42811026536679e-06,"flow_int"
0.6,3.7,"control",2.42344262849114e-06,"flow_int"
0.6,3.7,"drought",1.80246690430451e-05,"flow_int"
0.6,3.7,"irrigated",1.07479290523416e-06,"flow_int"
0.6,3.8,"control",7.59857295396523e-07,"flow_int"
0.6,3.8,"drought",6.56442840590277e-06,"flow_int"
