"size.prev","size.nex","trt","p.size.cur","phen"
0.5,1.1,"control",4.50832688866535e-06,125.817760455222
0.5,1.1,"control",4.38117992557348e-06,127.316307477113
0.5,1.1,"drought",7.46769082675081e-07,122.574617171044
0.5,1.1,"drought",7.03582069842936e-07,125.817760455222
0.5,1.1,"drought",6.83739096646207e-07,127.316307477113
0.5,1.1,"irrigated",2.28108063634875e-05,122.574617171044
0.5,1.1,"irrigated",2.14916029454821e-05,125.817760455222
0.5,1.1,"irrigated",2.08854728871462e-05,127.316307477113
0.5,1.2,"control",1.23800345750991e-05,122.574617171044
0.5,1.2,"control",1.16640766372869e-05,125.817760455222
0.5,1.2,"control",1.13351182546482e-05,127.316307477113
0.5,1.2,"drought",2.2441486344013e-06,122.574617171044
0.5,1.2,"drought",2.11436544155144e-06,125.817760455222
0.5,1.2,"drought",2.05473444954199e-06,127.316307477113
0.5,1.2,"irrigated",5.44120321388901e-05,122.574617171044
0.5,1.2,"irrigated",5.12652543514488e-05,125.817760455222
0.5,1.2,"irrigated",4.98194147047053e-05,127.316307477113
0.5,1.3,"control",2.9532856272913e-05,122.574617171044
0.5,1.3,"control",2.78249221999835e-05,125.817760455222
0.5,1.3,"control",2.70401844373136e-05,127.316307477113
0.5,1.3,"drought",6.21821213874076e-06,122.574617171044
0.5,1.3,"drought",5.85860163308511e-06,125.817760455222
0.5,1.3,"drought",5.69337275622988e-06,127.316307477113
0.5,1.3,"irrigated",0.000119673469480527,122.574617171044
0.5,1.3,"irrigated",0.000112752466887827,125.817760455222
0.5,1.3,"irrigated",0.00010957249657544,127.316307477113
0.5,1.4,"control",6.49587522267934e-05,122.574617171044
0.5,1.4,"control",6.12020798196992e-05,125.817760455222
0.5,1.4,"control",5.94760162985412e-05,127.316307477113
0.5,1.4,"drought",1.58864945735083e-05,122.574617171044
0.5,1.4,"drought",1.49677497286546e-05,125.817760455222
0.5,1.4,"drought",1.45456175149281e-05,127.316307477113
0.5,1.4,"irrigated",0.00024268863891085,122.574617171044
