year,plot,tag,umble.no,no.seeds,notes,
2022,2,3562,1,0,,
2022,2,3190,1,60,umble maybe nibbled on,
2022,2,3163,1,30,,
2022,3,3759,1,134,,
2022,3,3759,2,146,,
2022,3,3759,3,79,,
2022,3,3759,4,0,,
2022,3,3462,1,118,,
2022,3,3462,2,142,,
2022,3,3462,3,0,,
2022,3,3056,1,62,,
2022,3,3349,1,58,,
2022,3,3349,2,2,,
2022,3,3349,3,0,broken off,
2022,3,3304,1,106,,
2022,3,3304,2,0,,
2022,3,3797,1,248,,
2022,3,3797,2,0,,
2022,3,3015,1,0,,
2022,3,7573,1,14,,
2022,3,3798,1,0,,
2022,3,3796,1,0,,
2022,3,3651,1,62,,
2022,3,3846,1,0,broken off,
2022,3,3624,1,48,,
2022,3,3081,1,58,,
2022,3,3313,1,78,,
2022,3,3799,1,170,,
2022,3,3906,1,24,,
2022,4,1411,1,42,,
2022,4,3364,1,128,,
2022,4,3364,2,30,,
2022,4,3364,3,0,,
2022,4,7550,1,30,,
2022,4,7550,2,0,broken off,
2022,4,3730,1,140,,
2022,4,3656,1,90,,
2022,4,3007,1,56,,
2022,4,3182,1,126,some seeds rotting (didn’t count rotting seeds),
2022,4,3182,2,0,,
2022,4,2230,1,12,,
2022,4,2230,2,12,,
2022,4,7591,1,40,,
2022,4,7591,2,0,,
2022,4,7545,1,94,,
2022,4,3122,1,34,,
2022,4,3122,2,18,,
2022,4,3122,3,0,,
2022,4,3787,1,86,,
2022,10,3353,1,114,,
2022,10,3353,2,0,,
2022,10,3655,1,236,,
2022,10,3655,2,0,,
2022,10,3547,1,28,,
2022,10,3190,1,132,,
2022,10,3190,2,0,,
2022,12,3578,1,104,,
2022,12,3578,2,62,,
2022,12,3578,3,0,,
2022,12,3395,1,82,,
2022,12,3395,2,86,,
2022,12,3395,3,0,,
2022,12,3129,1,368,"weird twisting stalk, hard to count seends",
2022,12,3129,2,0,,
2022,12,3135,1,82,,
2022,12,3135,2,84,,
2022,12,3135,3,0,,
2022,12,3536,1,68,,
2022,12,3536,2,0,,
2022,12,3536,3,0,,
2022,12,3002,1,98,,
2022,12,3002,2,64,,
2022,12,3002,3,6,,
2022,14,3360,1,82,,
2022,14,3360,2,0,,
2022,14,3360,3,0,,
2022,14,3556,1,2,,
2022,14,3556,2,0,,
2022,14,3556,3,0,,
2022,14,3526,1,40,,
2022,14,3526,2,40,,
2022,14,3526,3,0,,
2022,14,3004,1,10,,
2022,14,3004,2,0,,
2022,14,3004,3,0,,
2022,14,3913,1,56,,
2022,14,3913,2,0,,
2022,14,3432,1,134,,
2022,14,3432,2,122,,
2022,14,3432,3,0,,
2022,14,3699,1,126,,
2022,14,3699,2,68,,
2022,14,3459,1,92,,
2022,14,3459,2,0,,
2022,14,3035,1,46,order unknown,
2022,14,3035,2,0,,
2022,14,3035,3,0,,
2022,14,3671,1,96,,
2022,14,3671,2,2,,
2022,14,3752,1,6,,
2022,14,3433,1,210,,
2022,14,3433,2,0,,
2022,14,3661,1,140,,
2022,14,3661,2,142,,
2022,14,3661,3,0,,
2022,14,3363,1,102,order unknown,
2022,14,3363,2,62,,
2022,14,3363,3,0,,
2022,14,3363,4,0,,
2022,14,7576,1,2,,
2022,14,3158,1,116,,
2022,14,3158,2,4,,
2022,14,3430,1,0,,
2022,14,3430,2,0,,
2022,14,3469,1,2,,
2022,14,3469,2,0,,
2022,14,3305,1,2,,
2022,14,7557,1,90,,
2022,14,7557,2,0,,
2022,14,3366,1,132,,
2022,14,3366,2,0,,
2022,14,3838,1,0,broken off,
2022,14,3101,1,16,,
