Year,Plot,Tag,Xcoor,Ycoor,No.leaves,Leaf.length,No.umbels,Stalk_Height,umbel.diam,YrTag,notes
2021,4,3342,14,N,0,NA,NA,NA,NA,2016,NP
2021,4,3563,15,R,4,18,2,51,SOS,2016,
2021,4,3182,16,H,2,19,1,38,4,2019,
2021,4,3321,16,L,5,18,3,41,SOS,2021,
2021,4,3735,16,M,2,15,1,16,2.5,2021,
2021,4,3732,16,M,2,18,1,30.5,3,2021,
2021,4,3634,18,O,5,19.5,1,31,4,2016,
2021,4,3090,18,P,9,19,2,37,SOS,2016,
2021,5,3490,0,F,1,13,0,NA,NA,2019,
2021,5,3788,0,F,1,14.5,0,NA,NA,2020,
2021,5,3024,0,H,1,12,0,NA,NA,2016,
2021,5,3328,0,H,NA,NA,NA,NA,NA,2016,NPNT
2021,5,3467,0,H,2,12,0,NA,NA,2018,
2021,5,3195,1,A,1,15.5,0,NA,NA,?,
2021,5,3152,1,G,0,NA,NA,NA,NA,2017,NP
2021,5,5027,1,H,1,19,0,NA,NA,2021,
2021,5,3108,1,I,1,12,0,NA,NA,2017,
2021,5,3105,1,J,1,12,0,NA,NA,2016,
2021,5,3468,1,J,1,12.5,0,NA,NA,2018,
2021,5,3148,2,C,0,NA,NA,NA,NA,2017,NP
2021,5,3161,2,F,4,13.5,0,NA,NA,2017,
2021,5,3499,2,G,0,NA,NA,NA,NA,2019,NP
2021,5,5029,2,H,1,12,0,NA,NA,2021,
2021,5,3508,2,I,1,10.5,0,NA,NA,2017,
2021,5,3197,3,A,6,17,2,25.5,SOS,2016,
2021,5,3464,3,A,0,NA,NA,NA,NA,2018,NP
2021,5,3193,3,B,2,17.5,0,NA,NA,2016,
2021,5,3560,3,B,2,9,1,16.5,3,2017,
2021,5,3194,3,C,NA,NA,NA,NA,NA,2016,NPNT
2021,5,3820,3,C,1,15,0,NA,NA,2017,
2021,5,5026,3,D,1,12,0,NA,NA,2021,
2021,5,3479,3,G,0,NA,NA,NA,NA,2019,NP
2021,5,3469,3,H,5,15,0,NA,NA,2018,
2021,5,3987,3,H,0,NA,NA,NA,NA,2016,NP
2021,5,3998,3,H,NA,NA,NA,NA,NA,2016,NPNT
2021,5,3125,3,I,1,11,0,NA,NA,2017,
2021,5,3338,3,I,1,12.5,0,NA,NA,2017,
2021,5,3877,3,J,1,13,0,NA,NA,2016,
2021,5,3199,4,B,3,14,0,NA,NA,2016,
2021,5,3466,4,B,2,10.5,0,NA,NA,2018,
2021,5,3192,4,C,0,NA,NA,NA,NA,2016,NP
2021,5,3465,4,C,1,19,0,NA,NA,2018,
2021,5,3196,4,D,0,NA,NA,NA,NA,2016,NP
2021,5,3200,4,F,2,8,1,18.5,4.5,2016,
2021,5,3622,5,D,1,10,0,NA,NA,2017,
2021,5,5021,5,F,2,10,1,11,3,2021,
2021,5,3640,5,G,2,10,0,NA,NA,2017,
2021,5,3484,5,H,1,11,0,NA,NA,2019,
2021,5,3706,5,I,1,14,0,NA,NA,2017,
2021,5,3496,5,J,0,NA,NA,NA,NA,2019,NP
2021,5,3191,6,E,0,NA,NA,NA,NA,2016,NP
2021,5,3708,6,F,3,10.5,0,NA,NA,2017,
2021,5,5017,6,H,2,14,0,NA,NA,2021,
2021,5,3941,7,B,NA,NA,NA,NA,NA,2017,NPNT
2021,5,3684,7,E,2,17,0,NA,NA,2017,
2021,5,3120,7,G,3,14,0,NA,NA,2016,
2021,5,3714,7,G,NA,NA,NA,NA,NA,2017,NPNT
2021,5,3592,7,J,1,12.5,0,NA,NA,2016,
2021,5,3803,8,A,NA,NA,NA,NA,NA,2017,NPNT
2021,5,3810,8,B,2,12.5,1,NA,NA,2017,
2021,5,3363,8,E,NA,NA,NA,NA,NA,2016,NPNT
2021,5,2055,8,F,2,12,0,NA,NA,2021,
2021,5,3034,8,G,2,9,0,NA,NA,2017,
2021,5,3644,8,H,3,14,2,10,SOS,2017,
2021,5,3198,9,B,1,15,0,NA,NA,2016,
2021,5,3330,9,B,0,NA,NA,NA,NA,2016,NP
2021,5,3836,9,C,0,NA,NA,NA,NA,2016,NP
2021,5,3170,9,D,NA,NA,NA,NA,NA,2016,NPNT
2021,5,3546,9,F,1,10,1,NA,NA,2017,
2021,5,3003,10,C,0,NA,NA,NA,NA,2017,NP
2021,5,3362,10,F,3,15,0,NA,NA,2016,
2021,5,3896,10,F,2,16,1,NA,NA,2017,
2021,5,3329,10,H,NA,NA,NA,NA,NA,2017,NPNT
2021,5,5034,10,H,1,17,0,NA,NA,2021,
2021,5,3174,10,I,NA,NA,NA,NA,NA,2016,"NPNT, maybe new tag 5033"
2021,5,5033,10,I,2,8,0,NA,NA,2021,
2021,5,3649,11,A,2,11.5,1,9,1,2017,
2021,5,3074,11,C,0,NA,NA,NA,NA,2017,NP
2021,5,3827,11,C,0,NA,NA,NA,NA,2017,NP
2021,5,3471,11,D,1,13.5,0,NA,NA,2018,
2021,5,3184,11,E,0,NA,NA,NA,NA,2016,NP
2021,5,3807,11,H,NA,NA,NA,NA,NA,2017,"NPNT, maybe new tag 5023 or 5036"
2021,5,5036,11,H,1,8,1,NA,NA,2021,
2021,5,5023,11,I,1,16,0,NA,NA,2021,
2021,5,3615,11,J,1,17,1,NA,NA,2017,
2021,5,5045,12,B,3,14.5,1,21,3,2021,
2021,5,3516,12,C,1,13.5,0,NA,NA,2017,
2021,5,3040,12,D,NA,NA,NA,NA,NA,2016,NPNT
2021,5,3476,12,E,2,9.5,1,12,3,2019,
2021,5,3109,12,F,0,NA,NA,NA,NA,2017,NP
2021,5,3361,13,A,NA,NA,NA,NA,NA,2017,NPNT
2021,5,5044,13,B,2,12,0,NA,NA,2021,
2021,5,3343,13,C,0,NA,NA,NA,NA,2016,NP
2021,5,3538,13,C,NA,NA,NA,NA,NA,2017,NPNT
2021,5,3331,13,E,1,14.5,0,NA,NA,2017,
2021,5,3577,13,G,1,10.5,0,NA,NA,2017,
2021,5,3677,13,G,0,NA,NA,NA,NA,?,NP
2021,5,5035,13,G,1,12,0,NA,NA,2021,
2021,5,3566,13,H,1,9,0,NA,NA,2017,
2021,5,3470,13,I,2,10.5,1,10,2.5,2018,
2021,5,3093,14,A,3,15.5,1,21.5,3.5,2017,
2021,5,3095,14,B,NA,NA,NA,NA,NA,2016,NPNT
2021,5,3472,14,B,NA,NA,NA,NA,NA,2018,NPNT
2021,5,3125,14,C,2,14,0,NA,NA,2019,
2021,5,3988,14,C,1,11,0,NA,NA,2016,
2021,5,3060,14,D,0,NA,NA,NA,NA,2017,NP
2021,5,3153,14,D,1,10.5,0,NA,NA,2017,
2021,5,3010,14,G,1,5,0,NA,NA,2016,
2021,5,3710,14,H,1,13,0,NA,NA,2016,
2021,5,3022,14,J,0,NA,NA,NA,NA,2016,NP
2021,5,3144,14,J,1,9,1,10,3.5,2017,
2021,5,5043,15,F,1,14,0,NA,NA,2021,
2021,5,3186,15,G,NA,NA,NA,NA,NA,2016,NPNT
2021,5,3984,15,H,NA,NA,NA,NA,NA,2016,NPNT
2021,5,3488,15,I,4,17,3,12,SOS,2019,
2021,5,3127,16,B,2,12,1,15,2.5,2019,
2021,5,3833,16,B,3,14,1,18,4,2016,
2021,5,3907,16,B,0,NA,NA,NA,NA,2017,NP
2021,5,3124,16,D,2,18,1,18,3,2016,
2021,5,3067,16,F,2,12,1,23,5,2016,
2021,5,3697,16,G,2,15,1,7,2.5,2017,
2021,5,3001,16,I,0,NA,NA,NA,NA,2016,NP
2021,5,3811,16,J,0,NA,NA,NA,NA,2017,NP
2021,5,3180,17,B,NA,NA,NA,NA,NA,2016,NT. Duplicate in 18C. Could not find this tag
2021,5,3342,17,B,NA,NA,NA,NA,NA,2016,NPNT
2021,5,3106,17,E,NA,NA,NA,NA,NA,2017,NPNT
2021,5,3679,17,F,0,NA,NA,NA,NA,2016,NP
2021,5,3073,17,G,0,NA,NA,NA,NA,2016,NP
2021,5,3817,17,H,1,14,0,NA,NA,2017,
2021,5,3888,17,I,0,NA,NA,NA,NA,2017,NP
2021,5,3474,18,A,1,10,0,NA,NA,2018,
2021,5,3685,18,B,4,17,0,NA,NA,2016,
2021,5,3180,18,C,1,10.5,0,NA,NA,2016,Duplicate in 17B. Could only find this tag
2021,5,3334,18,C,0,NA,NA,NA,NA,2016,NP
2021,5,3135,18,D,2,9,1,16,3,2016,
2021,5,3178,18,E,1,15,0,NA,NA,2016,
2021,5,3869,18,E,1,15,0,NA,NA,2016,
2021,5,3473,18,G,2,15,1,13.5,2.5,2018,
2021,5,3713,19,F,2,10.5,0,NA,NA,2016,
2021,5,5042,19,G,1,8.5,0,NA,NA,2021,
2021,5,3663,19,I,1,11.5,0,NA,NA,2016,
2021,6,3070,4,G,5,17,3,34,SOS,2016,
2021,6,3008,4,J,2,24.5,0,NA,NA,2016,
2021,6,3179,5,E,3,15,2,25.5,SOS,2017,
2021,6,3790,5,I,2,6,0,NA,NA,2020,
2021,6,3916,7,C,4,21,1,40.5,4,2016,
2021,6,3400,8,E,2,16,1,24.5,4,2017,
2021,6,3048,8,J,2,17,0,NA,NA,2021,
2021,6,3791,9,J,4,15,0,NA,NA,2020,
2021,6,3518,10,I,3,14,2,30,SOS,2017,
2021,6,3319,11,A,5,18,4,32,SOS,2017,
2021,6,3753,11,A,3,19.5,1,28.5,3,2021,
2021,6,3455,11,D,0,NA,NA,NA,NA,2018,NP
2021,6,3601,12,B,NA,NA,NA,NA,NA,2017,NPNT
2021,6,3360,12,C,3,16,2,27,4.5,2016,
2021,6,3825,12,C,NA,NA,NA,NA,NA,2016,NPNT
2021,6,3345,12,D,8,18,3,36,SOS,2016,
2021,6,3358,12,D,7,14.5,3,33,SOS,2017,
2021,6,3164,13,A,1,9,0,NA,NA,2017,
2021,6,3456,13,B,2,17,1,32,4,2018,
2021,6,3489,13,B,3,14,1,21.5,4,2019,
2021,6,3669,14,E,4,16,2,26.5,SOS,2016,
2021,6,3372,14,G,2,10,1,13,NA,2017,
2021,6,3373,14,H,1,19,0,NA,NA,2017,
2021,6,3141,15,E,4,14,3,27.5,SOS,2016,
2021,6,3785,15,G,1,9.5,0,NA,NA,2020,
2021,6,3777,15,G,2,11,1,25.5,3,2021,
2021,6,3733,15,G,3,18,1,26,4,2021,
2021,6,3725,15,G,3,16.5,1,23,3,2021,
2021,6,3454,15,H,2,16.5,1,20,3,2018,
2021,6,3136,16,B,2,13.5,2,33,SOS,2016,
2021,6,3887,16,D,3,14,2,30,SOS,2017,
2021,6,3648,16,F,3,11,2,26,SOS,2016,
2021,6,3630,16,I,2,15,1,35,5.5,2016,
2021,6,3465,17,F,1,17.5,0,NA,NA,2019,
2021,6,3767,17,G,1,13,0,NA,NA,2021,
2021,6,3541,18,A,1,9.5,0,NA,NA,2017,
2021,6,3747,18,A,2,17.5,0,NA,NA,2020,
2021,6,3743,18,A,2,17.5,1,12,NA,2021,
2021,6,3005,18,E,1,14,0,NA,NA,2016,
2021,6,3140,18,F,4,18,1,24,4,2016,
2021,6,3173,18,F,2,14,1,20.5,3.5,2016,
2021,6,3784,18,F,0,NA,NA,NA,NA,2020,NP
2021,6,3955,18,G,3,18,0,NA,NA,2021,
2021,6,3374,18,H,1,14.5,0,NA,NA,2017,
2021,6,3643,18,H,6,14,2,20,SOS,2016,
2021,6,3466,19,B,2,17.5,1,19.5,6,2019,
2021,6,3142,19,D,0,NA,NA,NA,NA,2016,"NP, tag is 3792"
2021,6,3570,19,F,1,8,0,NA,NA,2016,
2021,6,3773,19,F,2,12,1,18,3,2021,
2021,6,3729,19,F,3,10.5,1,22,4,2021,
2021,7,3453,0,C,3,13,2,23,NA,2018,
2021,7,3981,0,D,1,16.5,0,NA,NA,2017,
2021,7,3308,0,I,NA,NA,NA,NA,NA,2017,NPNT
2021,7,5050,1,A,1,12.5,0,NA,NA,2021,
2021,7,3069,1,C,NA,NA,NA,NA,NA,2016,NPNT
2021,7,3915,1,F,NA,NA,NA,NA,NA,2017,NT. New tag is 5051
2021,7,5051,1,F,1,13.5,0,NA,NA,2021,new tag for 3915 in 1F
2021,7,3327,1,H,0,NA,NA,NA,NA,2017,NP
2021,7,3370,2,A,2,12,0,NA,NA,2017,
2021,7,5049,2,D,1,14,1,NA,NA,2021,
2021,7,3452,2,E,1,10,0,NA,NA,2018,
2021,7,3375,3,C,NA,NA,NA,NA,NA,2017,NPNT
2021,7,3636,3,J,1,15.5,0,NA,NA,2017,
2021,7,5052,3,J,2,16,0,NA,NA,2021,
2021,7,3450,4,H,2,16.5,1,12.5,4,2018,
2021,7,5053,4,J,1,15.5,0,NA,NA,2021,
2021,7,3401,5,H,1,10,0,NA,NA,2020,
2021,7,3089,5,I,4,15.5,1,19.5,2.5,2017,
2021,7,3794,6,I,0,NA,NA,NA,NA,2020,NP
2021,7,3443,7,A,1,19.5,0,NA,NA,2018,
2021,7,3044,7,D,1,18.5,0,NA,NA,2016,
2021,7,3688,7,H,1,15,0,NA,NA,2016,
2021,7,3368,7,I,4,15,0,NA,NA,2017,
2021,7,3874,8,C,3,16,1,8,NA,2016,
2021,7,3100,9,B,2,14,0,NA,NA,2017,
2021,7,5047,9,B,1,15,1,12.5,3,2021,
2021,7,3296,9,C,5,11.5,2,16.5,SOS,2016,
2021,7,3396,9,C,0,NA,NA,NA,NA,2016,NP
2021,7,3994,9,J,3,14.5,2,26,SOS,2016,
