Year,Plot,Tag,Xcoor,Ycoor,No.leaves,Leaf.length,No.umbels,Stalk_Height,umbel.diam,YrTag,notes,tag.pulled,problem.tag,,
2022,2,3562,19,I,2,11.5,1,16.5,3,2021,,,,,
2022,3,3071,0,A,0,NA,NA,NA,NA,2017,NP. Tag pulled,1,,,
2022,3,3793,0,A,0,NA,NA,NA,NA,2019,NP,,,,
2022,3,3056,0,B,2,17,1,39,6,2016,,,,,
2022,3,3463,0,B,0,NA,NA,NA,NA,2018,NP. Tag pulled,1,,,
2022,3,3919,0,B,1,16,0,NA,NA,2019,,,,,
2022,3,3624,0,D,3,18,1,40,3,2016,,,,,
2022,3,3015,0,F,3,17,1,34,5,2017,,,,,
2022,3,3081,1,B,4,22,1,39,4.5,2021,,,,,
2022,3,3906,1,C,2,17,1,38,4,2017,,,,,
2022,3,3349,1,F,5,13,3,43,SOS,2016,,,,,
2022,3,3019,2,A,NA,NA,NA,NA,NA,2017,NPNT,,,,
2022,3,3462,2,A,6,18,3,53,SOS,2018,,,,,
2022,3,3036,2,B,1,22,0,NA,NA,2016,"was replaced by 3762 in 2021, but this year found both tags, and point at the same plant. Pulled the replacement tag",,1,,
2022,3,3633,2,B,1,15.5,0,NA,NA,2016,,,,,
2022,3,3762,2,B,NA,NA,NA,NA,NA,2021,"was replacing 3036, but found both. Pulled this one 3762. ",1,1,,
2022,3,3568,2,C,0,NA,NA,NA,NA,2017,NP - dactylis clump,,,,
2022,3,3799,2,D,3,23,1,47,5,2019,,,,,
2022,3,3304,3,B,4,22,2,52,SOS,2016,next to 3831,,,,
2022,3,3313,3,B,2,18,1,38,4,2016,,,,,
2022,3,3507,3,B,NA,NA,NA,NA,NA,2016,NPNT,,,,
2022,3,3651,3,B,3,22,1,33,6.5,2017,,,,,
2022,3,3831,4,B,2,29.5,0,NA,NA,2017,,,,,
2022,3,3461,4,C,1,21,0,NA,NA,2018,,,,,
2022,3,3797,4,I,3,18,2,39,SOS,2019,,,,,
2022,3,3846,6,D,2,16,1,32,4,2021,,,,,
2022,3,3796,6,E,1,14.5,1,26.5,4,2019,,,,,
2022,3,3798,6,E,2,11,1,25.5,4,2019,,,,,
