Year,Plot,Tag,Xcoor,Ycoor,No.leaves,Leaf.length,No.umbels,Stalk_Height,umbel.diam,YrTag,2020notes
2020,4,3151,4,I,1,10.2,0,NA,NA,2019,
2020,4,3680,4,J,1,10.6,0,NA,NA,2016,
2020,4,3458,5,F,2,9.8,1,30,4.8,2018,
2020,4,3459,5,H,NA,NA,NA,NA,NA,2018,NPNT
2020,4,3786,6,H,1,7,18,NA,NA,2020,
2020,4,3571,6,J,NA,NA,NA,NA,NA,2016,NPNT
2020,4,3983,7,I,1,16.3,0,NA,NA,2016,
2020,4,3122,8,J,0,NA,NA,NA,NA,2017,no plant
2020,4,3103,11,O,2,11.5,0,NA,NA,2017,diversity plot
2020,4,3555,11,T,3,13.5,1,21,2.5,2016,diversity plot
2020,4,3342,14,N,5,11,3,38.5,SOS,2016,diversity plot
2020,4,3563,15,R,5,18.5,2,51.5,SOS,2016,diversity plot
2020,4,3182,16,H,1,15.3,0,NA,NA,2019,
2020,4,3634,18,O,11,15,3,31.5,SOS,2016,diversity plot
2020,4,3090,18,P,0,NA,NA,NA,NA,2016,no plant
2020,5,3490,0,F,4,11,0,NA,NA,2019,
2020,5,3788,0,F,1,11.6,16,NA,NA,2020,
2020,5,3024,0,H,2,12,0,NA,NA,2016,
2020,5,3328,0,H,1,13,0,NA,NA,2016,
2020,5,3467,0,H,3,10.7,0,NA,NA,2018,
2020,5,3195,1,A,0,NA,NA,NA,NA,?,no plant
2020,5,3152,1,G,0,NA,NA,NA,NA,2017,no plant
2020,5,3108,1,I,2,13.7,0,NA,NA,2017,
2020,5,3105,1,J,1,10.4,0,NA,NA,2016,
2020,5,3468,1,J,2,16.5,0,NA,NA,2018,
2020,5,3148,2,C,0,NA,NA,NA,NA,2017,no plant
2020,5,3161,2,F,0,NA,NA,NA,NA,2017,no plant
2020,5,3499,2,G,0,NA,NA,NA,NA,2019,no plant
2020,5,3508,2,I,1,11.7,0,NA,NA,2017,
2020,5,3197,3,A,3,13.8,0,NA,NA,2016,
2020,5,3464,3,A,0,NA,NA,NA,NA,2018,no plant
2020,5,3193,3,B,3,19,0,NA,NA,2016,
2020,5,3560,3,B,0,NA,NA,NA,NA,2017,no plant
2020,5,3194,3,C,1,11.1,0,NA,NA,2016,
2020,5,3820,3,C,0,NA,NA,NA,NA,2017,no plant
2020,5,3479,3,G,0,NA,NA,NA,NA,2019,no plant
2020,5,3469,3,H,0,NA,NA,NA,NA,2018,no plant
2020,5,3987,3,H,0,NA,NA,NA,NA,2016,no plant
2020,5,3998,3,H,NA,NA,NA,NA,NA,2016,NPNT
2020,5,3125,3,I,1,13,0,NA,NA,2017,
2020,5,3338,3,I,1,13,0,NA,NA,2017,
2020,5,3877,3,J,1,11.4,0,NA,NA,2016,
2020,5,3199,4,B,0,NA,NA,NA,NA,2016,no plant
2020,5,3466,4,B,1,6.2,0,NA,NA,2018,
2020,5,3192,4,C,0,NA,NA,NA,NA,2016,no plant
2020,5,3465,4,C,0,NA,NA,NA,NA,2018,no plant
2020,5,3196,4,D,0,NA,NA,NA,NA,2016,no plant
2020,5,3200,4,F,0,NA,NA,NA,NA,2016,no plant
2020,5,3622,5,D,0,NA,NA,NA,NA,2017,no plant
2020,5,3640,5,G,0,NA,NA,NA,NA,2017,no plant
2020,5,3484,5,H,2,8.2,0,NA,NA,2019,
2020,5,3706,5,I,1,16.5,0,NA,NA,2017,
2020,5,3496,5,J,0,NA,NA,NA,NA,2019,no plant
2020,5,3191,6,E,1,12.2,0,NA,NA,2016,
2020,5,3708,6,F,1,7.8,0,NA,NA,2017,
2020,5,3941,7,B,1,8.8,0,NA,NA,2017,
2020,5,3684,7,E,1,13.4,0,NA,NA,2017,
2020,5,3120,7,G,2,12.5,0,NA,NA,2016,
2020,5,3714,7,G,NA,NA,NA,NA,NA,2017,NPNT
2020,5,3592,7,J,0,NA,NA,NA,NA,2016,no plant
2020,5,3803,8,A,NA,NA,NA,NA,NA,2017,NPNT
2020,5,3810,8,B,2,14.2,0,NA,NA,2017,
2020,5,3363,8,E,0,NA,NA,NA,NA,2016,no plant
2020,5,3034,8,G,0,NA,NA,NA,NA,2017,no plant
2020,5,3644,8,H,0,NA,NA,NA,NA,2017,no plant
2020,5,3198,9,B,0,NA,NA,NA,NA,2016,no plant
2020,5,3330,9,B,0,NA,NA,NA,NA,2016,no plant
2020,5,3836,9,C,1,9.8,0,NA,NA,2016,
2020,5,3170,9,D,NA,NA,NA,NA,NA,2016,NPNT
2020,5,3546,9,F,1,14.4,0,NA,NA,2017,
2020,5,3003,10,C,NA,NA,NA,NA,NA,2017,
2020,5,3362,10,F,NA,NA,NA,NA,NA,2016,
2020,5,3896,10,F,NA,NA,NA,NA,NA,2017,
2020,5,3329,10,H,NA,NA,NA,NA,NA,2017,
2020,5,3174,10,I,NA,NA,NA,NA,NA,2016,
2020,5,3649,11,A,NA,NA,NA,NA,NA,2017,
2020,5,3074,11,C,NA,NA,NA,NA,NA,2017,
2020,5,3827,11,C,NA,NA,NA,NA,NA,2017,
2020,5,3471,11,D,NA,NA,NA,NA,NA,2018,
2020,5,3184,11,E,NA,NA,NA,NA,NA,2016,
